,States,Max. Demand Met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),Drawal Schedule (MU),OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU),Date
0,punjab,5839,0,116.9,39.6,-0.8,222,1.18,01.04.23
1,haryana,5124,0,108.3,73.4,-1.8,132,0.00,01.04.23
2,rajasthan,9671,0,198.1,46.9,-4.0,108,0.00,01.04.23
3,delhi,3411,0,66.3,65.2,-1.4,114,0.00,01.04.23
4,up,16325,0,273.9,84.2,-0.4,446,0.00,01.04.23
5,uttarakhand,1772,0,35.5,22.9,-0.3,172,0.15,01.04.23
6,hp,1731,0,31.5,20.3,-0.4,57,0.00,01.04.23
7,j&k(ut)&ladakh(ut),2764,0,55.0,47.9,-0.9,221,0.40,01.04.23
8,chandigarh,180,0,3.2,3.4,-0.2,22,0.00,01.04.23
9,railways_north,158,0,3.3,3.2,0.0,13,0.00,01.04.23
10,chhattisgarh,4568,0,101.0,48.8,-2.2,94,0.00,01.04.23
11,gujarat,17682,0,389.2,190.0,-1.6,668,0.00,01.04.23
12,mp,10404,0,219.8,125.8,-1.6,472,0.00,01.04.23
13,maharashtra,25532,0,545.3,189.7,-0.7,679,0.00,01.04.23
14,goa,655,0,14.2,13.2,0.4,50,0.00,01.04.23
15,dnhddpdcl,1132,0,26.2,26.9,-0.7,18,0.00,01.04.23
16,amnsil,805,0,18.2,5.8,0.3,258,0.00,01.04.23
17,balco,512,0,12.2,12.4,-0.2,1,0.00,01.04.23
18,andhrapradesh,10979,0,220.4,77.3,-0.3,383,0.00,01.04.23
19,telangana,14150,0,287.7,155.5,0.5,617,0.00,01.04.23
20,karnataka,15185,0,288.9,131.1,-0.5,1162,0.00,01.04.23
21,kerala,4243,0,89.6,74.8,-0.5,232,0.00,01.04.23
22,tamilnadu,17249,0,365.5,221.2,-2.3,510,0.00,01.04.23
23,puducherry,421,0,9.1,10.2,-1.2,12,0.00,01.04.23
24,bihar,4794,69,86.9,75.5,0.2,378,0.42,01.04.23
25,dvc,3195,0,66.6,-45.0,-0.9,291,0.00,01.04.23
26,jharkhand,1238,0,24.8,19.2,-3.0,59,0.00,01.04.23
27,odisha,5152,0,97.6,38.0,-2.8,270,0.00,01.04.23
28,westbengal,6474,0,133.4,11.0,-3.3,159,0.00,01.04.23
29,sikkim,89,0,1.5,1.7,-0.2,47,0.00,01.04.23
30,arunachalpradesh,152,0,2.3,2.2,0.0,49,0.00,01.04.23
31,assam,1468,0,26.9,20.9,0.2,141,0.00,01.04.23
32,manipur,191,0,2.7,2.7,0.0,24,0.00,01.04.23
33,meghalaya,341,23,5.6,3.0,1.0,77,1.10,01.04.23
34,mizoram,124,0,1.8,1.7,-0.2,5,0.00,01.04.23
35,nagaland,127,0,1.8,1.9,-0.1,35,0.00,01.04.23
36,tripura,229,0,3.7,3.2,-0.4,72,0.00,01.04.23
0,punjab,6610,0,142.2,76.4,-2.0,72,0.00,01.05.23
1,haryana,6199,0,129.6,96.6,-3.9,228,0.00,01.05.23
2,rajasthan,10758,0,211.0,57.1,-3.8,470,0.31,01.05.23
3,delhi,3607,0,76.6,76.0,-2.8,45,0.00,01.05.23
4,up,13967,0,293.1,121.4,-5.0,211,0.00,01.05.23
5,uttarakhand,1720,0,34.3,17.4,-0.8,125,0.20,01.05.23
6,hp,1551,0,27.9,10.5,-0.3,54,0.00,01.05.23
7,j&k(ut)&ladakh(ut),2791,0,56.4,40.9,-1.5,112,0.00,01.05.23
8,chandigarh,194,0,4.0,4.3,-0.3,22,0.00,01.05.23
9,railways_north,179,0,3.8,3.3,0.5,40,0.00,01.05.23
10,chhattisgarh,4059,0,84.6,30.6,-3.1,419,0.00,01.05.23
11,gujarat,17386,0,386.8,201.8,-0.5,1060,0.00,01.05.23
12,mp,8418,0,176.0,89.1,-1.4,285,0.00,01.05.23
13,maharashtra,20766,0,483.4,188.8,-1.2,708,0.00,01.05.23
14,goa,650,0,13.7,13.3,-0.2,51,0.00,01.05.23
15,dnhddpdcl,1152,0,25.0,25.0,0.0,103,0.00,01.05.23
16,amnsil,758,0,16.4,10.9,0.6,314,0.00,01.05.23
17,balco,513,0,12.3,12.4,-0.1,508,0.00,01.05.23
18,andhrapradesh,8435,0,176.1,60.1,-3.2,638,0.00,01.05.23
19,telangana,6566,0,137.9,23.9,-0.8,820,0.00,01.05.23
20,karnataka,11346,0,223.7,88.2,-1.9,537,0.00,01.05.23
21,kerala,4073,0,82.0,66.0,-0.5,200,0.00,01.05.23
22,tamilnadu,13897,0,298.3,182.3,-1.1,644,0.00,01.05.23
23,puducherry,369,0,7.9,8.7,-1.3,62,0.00,01.05.23
24,bihar,4983,0,95.6,91.2,-4.2,221,0.27,01.05.23
25,dvc,3306,0,70.8,-34.8,0.8,306,0.00,01.05.23
26,jharkhand,1625,0,31.3,25.9,-3.3,135,0.06,01.05.23
27,odisha,5563,0,109.0,41.0,-3.6,313,0.00,01.05.23
28,westbengal,6487,0,144.7,21.4,-4.2,132,0.00,01.05.23
29,sikkim,73,0,1.0,1.5,-0.4,9,0.00,01.05.23
30,railways_east,14,0,0.7,0.0,0.7,0,0.00,01.05.23
31,arunachalpradesh,158,0,2.6,2.7,-0.2,40,0.00,01.05.23
32,assam,1531,0,27.8,20.5,0.1,135,0.00,01.05.23
33,manipur,192,0,2.7,2.6,0.1,25,0.00,01.05.23
34,meghalaya,310,53,5.4,4.2,0.0,48,1.19,01.05.23
35,mizoram,120,0,1.9,1.8,-0.2,7,0.00,01.05.23
36,nagaland,148,0,2.4,2.5,-0.1,19,0.00,01.05.23
37,tripura,321,0,5.8,5.2,0.4,47,0.00,01.05.23
0,punjab,6309,0,133.7,52.2,-1.7,190,0.00,01.06.23
1,haryana,6719,0,141.6,96.3,-1.3,264,0.00,01.06.23
2,rajasthan,10070,0,216.3,38.8,-6.7,298,0.00,01.06.23
3,delhi,4298,0,88.6,86.4,-2.8,125,0.00,01.06.23
4,up,23584,0,457.0,205.5,0.7,532,0.00,01.06.23
5,uttarakhand,2154,0,45.6,21.2,-0.1,111,0.00,01.06.23
6,hp,1426,0,26.7,-2.2,0.5,110,0.00,01.06.23
7,j&k(ut)&ladakh(ut),2568,0,52.6,27.1,0.2,156,0.10,01.06.23
8,chandigarh,216,0,4.3,4.8,-0.6,1,0.00,01.06.23
9,railways_north,176,0,3.8,3.3,0.5,36,0.00,01.06.23
10,chhattisgarh,4762,0,107.7,47.2,-1.8,126,0.00,01.06.23
11,gujarat,20154,0,435.1,211.2,-3.9,698,0.00,01.06.23
12,mp,11633,0,253.4,139.7,-3.7,266,0.00,01.06.23
13,maharashtra,28075,816,587.7,234.5,0.7,1051,1.30,01.06.23
14,goa,694,0,14.4,15.6,-1.2,40,0.00,01.06.23
15,dnhddpdcl,1218,0,27.2,27.7,-0.5,52,0.00,01.06.23
16,amnsil,799,0,17.2,7.4,0.2,256,0.00,01.06.23
17,balco,519,0,12.4,12.5,-0.1,8,0.00,01.06.23
18,andhrapradesh,11472,0,233.9,68.7,0.9,1084,0.00,01.06.23
19,telangana,9740,0,198.6,83.1,0.4,391,0.00,01.06.23
20,karnataka,12138,0,234.9,67.1,-2.8,742,0.00,01.06.23
21,kerala,4481,0,91.8,65.6,1.1,437,0.00,01.06.23
22,tamilnadu,17527,0,389.4,187.1,-2.3,350,0.00,01.06.23
23,puducherry,505,0,11.2,11.0,-0.6,24,0.00,01.06.23
24,bihar,6306,520,133.0,125.6,-2.8,308,3.86,01.06.23
25,dvc,3159,0,73.9,-38.0,0.3,204,0.00,01.06.23
26,jharkhand,1719,419,36.0,29.6,-2.0,195,2.40,01.06.23
27,odisha,5983,0,132.9,58.6,-1.8,320,0.00,01.06.23
28,westbengal,11348,0,228.9,118.3,-2.6,223,0.00,01.06.23
29,sikkim,99,0,2.0,1.5,0.4,40,0.00,01.06.23
30,railways_east,27,0,0.2,0.3,-0.1,0,0.00,01.06.23
31,arunachalpradesh,168,0,2.6,2.5,0.2,65,0.00,01.06.23
32,assam,2186,0,45.1,39.3,0.2,131,0.00,01.06.23
33,manipur,178,0,2.5,2.4,0.1,28,0.00,01.06.23
34,meghalaya,317,10,4.9,3.2,0.3,70,1.39,01.06.23
35,mizoram,118,0,1.9,1.8,-0.2,16,0.00,01.06.23
36,nagaland,157,0,2.7,2.6,0.0,25,0.00,01.06.23
37,tripura,346,0,6.6,6.5,0.6,68,0.00,01.06.23
0,punjab,14202,0,309.4,209.0,-1.8,207,0.00,01.07.23
1,haryana,11063,0,227.3,176.8,0.2,312,0.00,01.07.23
2,rajasthan,11627,0,255.1,73.1,-2.3,267,0.00,01.07.23
3,delhi,5634,0,117.1,113.3,-2.0,147,0.00,01.07.23
4,up,22244,0,415.4,187.1,-0.3,443,0.06,01.07.23
5,uttarakhand,2024,0,44.1,17.6,0.6,132,0.00,01.07.23
6,hp,1624,0,34.9,-9.6,-0.3,129,0.13,01.07.23
7,j&k(ut)&ladakh(ut),2458,90,52.4,26.0,0.2,144,0.35,01.07.23
8,chandigarh,307,0,6.2,6.4,-0.2,18,0.00,01.07.23
9,railways_north,189,0,3.6,3.6,0.1,28,0.00,01.07.23
10,chhattisgarh,4790,0,105.3,59.9,-0.6,480,0.00,01.07.23
11,gujarat,14935,0,325.3,171.0,0.0,754,0.00,01.07.23
12,mp,9530,0,204.5,77.5,-4.3,267,0.00,01.07.23
13,maharashtra,22091,0,494.1,155.1,-7.3,514,0.00,01.07.23
14,goa,619,0,12.4,12.5,-0.5,45,0.00,01.07.23
15,dnhddpdcl,1211,0,28.4,28.4,0.0,128,0.00,01.07.23
16,amnsil,790,0,17.7,8.3,-0.1,309,0.00,01.07.23
17,balco,519,0,12.4,12.5,-0.1,2,0.00,01.07.23
18,andhrapradesh,11560,0,240.0,68.7,-0.1,703,0.00,01.07.23
19,telangana,10356,0,209.8,90.1,1.3,489,0.00,01.07.23
20,karnataka,12037,0,224.9,57.9,1.3,898,0.00,01.07.23
21,kerala,3921,0,78.5,63.8,2.0,409,0.00,01.07.23
22,tamilnadu,17381,0,376.9,173.2,-3.7,568,0.00,01.07.23
23,puducherry,470,0,10.4,9.9,-0.3,54,0.00,01.07.23
24,bihar,5839,0,109.7,101.4,-1.8,257,1.00,01.07.23
25,dvc,3385,0,75.1,-34.2,0.7,312,0.00,01.07.23
26,jharkhand,1653,0,33.8,26.4,-0.7,230,0.49,01.07.23
27,odisha,5751,0,123.5,41.9,-0.4,209,0.00,01.07.23
28,westbengal,9067,0,190.3,70.9,-1.9,247,0.00,01.07.23
29,sikkim,70,0,1.2,1.5,-0.3,1,0.00,01.07.23
30,railways_east,20,0,0.1,0.4,-0.2,8,0.00,01.07.23
31,arunachalpradesh,158,0,2.8,2.6,0.0,22,0.00,01.07.23
32,assam,2075,0,39.9,33.0,0.4,113,0.00,01.07.23
33,manipur,182,0,2.6,2.6,0.0,15,0.00,01.07.23
34,meghalaya,332,3,5.1,1.6,-0.1,75,1.10,01.07.23
35,mizoram,122,0,1.9,1.7,-0.2,16,0.00,01.07.23
36,nagaland,150,0,2.7,2.4,-0.1,23,0.00,01.07.23
37,tripura,257,0,4.6,3.9,0.2,75,0.00,01.07.23
0,punjab,15123,0,327.3,190.4,-0.2,126,0.00,01.08.23
1,haryana,11756,0,246.7,193.3,-1.6,100,0.00,01.08.23
2,rajasthan,12466,0,279.1,74.6,-4.7,333,0.00,01.08.23
3,delhi,6736,0,136.0,123.9,-2.0,106,0.00,01.08.23
4,up,27299,0,546.0,267.5,-1.4,352,0.12,01.08.23
5,uttarakhand,2244,0,49.2,22.3,0.5,124,0.15,01.08.23
6,hp,1710,0,36.4,0.6,-0.3,50,0.00,01.08.23
7,j&k(ut)&ladakh(ut),2518,0,52.6,27.6,0.4,229,0.39,01.08.23
8,chandigarh,400,0,7.6,7.4,0.2,51,0.00,01.08.23
9,railways_north,157,0,3.2,3.5,-0.3,10,0.00,01.08.23
10,chhattisgarh,4841,0,108.7,52.8,-1.8,224,0.00,01.08.23
11,gujarat,15425,0,346.8,138.0,-5.3,850,0.00,01.08.23
12,mp,11527,0,248.8,125.0,-4.1,337,0.00,01.08.23
13,maharashtra,22067,0,480.1,166.7,-6.4,662,0.00,01.08.23
14,goa,612,0,12.8,12.8,-0.1,47,0.00,01.08.23
15,dnhddpdcl,1258,0,29.5,29.5,0.0,38,0.00,01.08.23
16,amnsil,874,0,18.2,8.0,0.1,287,0.00,01.08.23
17,balco,519,0,12.4,12.5,-0.1,29,0.00,01.08.23
18,andhrapradesh,9880,0,208.8,59.2,-0.5,724,0.00,01.08.23
19,telangana,10957,0,211.2,96.8,-2.1,640,0.00,01.08.23
20,karnataka,11054,0,201.4,50.8,-3.3,397,0.00,01.08.23
21,kerala,3990,0,80.7,61.4,1.7,248,0.00,01.08.23
22,tamilnadu,18252,0,391.9,164.9,-2.8,459,0.00,01.08.23
23,puducherry,481,0,10.5,10.1,-0.3,33,0.00,01.08.23
24,bihar,7178,0,148.3,144.4,-2.4,302,0.39,01.08.23
25,dvc,3390,0,74.5,-35.5,-0.2,297,0.00,01.08.23
26,jharkhand,1559,0,36.9,31.8,0.3,105,0.00,01.08.23
27,odisha,5904,0,114.0,54.8,-3.9,345,0.00,01.08.23
28,westbengal,9887,0,209.2,88.5,-4.5,287,0.00,01.08.23
29,sikkim,83,0,1.3,1.2,0.1,34,0.00,01.08.23
30,railways_east,24,0,0.2,0.3,-0.1,10,0.00,01.08.23
31,arunachalpradesh,170,0,3.0,2.7,0.0,59,0.00,01.08.23
32,assam,2389,0,48.1,40.8,0.4,178,0.00,01.08.23
33,manipur,185,0,2.6,2.8,-0.2,24,0.00,01.08.23
34,meghalaya,311,12,5.3,1.4,-0.1,67,0.60,01.08.23
35,mizoram,113,0,1.8,1.7,-0.2,10,0.00,01.08.23
36,nagaland,158,0,2.9,2.4,-0.1,32,0.00,01.08.23
37,tripura,285,0,6.0,5.5,0.4,74,0.00,01.08.23
0,punjab,12944,0,287.1,163.8,-0.6,118,0.00,01.09.23
1,haryana,11685,331,253.5,166.5,1.2,303,10.13,01.09.23
2,rajasthan,16485,667,333.0,121.3,4.2,432,34.81,01.09.23
3,delhi,6681,0,138.1,120.5,-2.9,208,0.00,01.09.23
4,up,25261,560,559.2,232.4,-3.5,830,4.84,01.09.23
5,uttarakhand,2175,155,45.6,19.0,1.1,217,2.84,01.09.23
6,hp,1680,0,35.9,0.5,2.9,276,0.00,01.09.23
7,j&k(ut)&ladakh(ut),2576,220,53.8,26.6,3.0,342,3.38,01.09.23
8,chandigarh,363,0,7.5,6.7,0.8,72,0.00,01.09.23
9,railways_north,176,0,3.6,2.2,1.4,94,0.00,01.09.23
10,chhattisgarh,5829,8,129.6,69.7,2.0,477,8.27,01.09.23
11,gujarat,24544,191,500.7,172.9,7.0,1859,8.33,01.09.23
12,mp,14118,0,299.9,159.7,7.1,1302,7.05,01.09.23
13,maharashtra,27462,0,591.4,213.9,0.1,835,15.80,01.09.23
14,goa,697,0,14.2,13.1,0.9,119,0.00,01.09.23
15,dnhddpdcl,1229,0,28.6,29.2,-0.6,52,0.00,01.09.23
16,amnsil,821,0,18.3,8.5,-0.2,323,0.00,01.09.23
17,balco,519,0,12.4,12.6,-0.2,5,0.00,01.09.23
18,andhrapradesh,12327,0,244.6,102.6,2.7,814,0.00,01.09.23
19,telangana,14999,0,279.4,130.2,-0.8,673,0.00,01.09.23
20,karnataka,14698,0,257.0,94.3,0.4,967,6.30,01.09.23
21,kerala,4107,0,87.3,56.3,1.3,313,0.00,01.09.23
22,tamilnadu,15984,0,346.0,169.1,1.4,857,0.00,01.09.23
23,puducherry,431,0,9.7,9.2,-0.2,41,0.00,01.09.23
24,bihar,6886,412,149.6,146.2,2.4,0,9.69,01.09.23
25,dvc,3409,0,78.2,-45.9,-0.4,0,0.00,01.09.23
26,jharkhand,1787,0,36.3,31.4,1.7,0,8.15,01.09.23
27,odisha,5636,0,130.5,46.4,0.4,0,0.00,01.09.23
28,westbengal,10667,0,220.3,94.8,7.1,0,0.00,01.09.23
29,sikkim,83,0,1.3,1.4,0.0,0,0.00,01.09.23
30,railways_east,19,0,0.2,0.1,0.0,0,0.00,01.09.23
31,arunachalpradesh,171,0,3.1,3.0,-0.5,14,0.00,01.09.23
32,assam,2091,200,44.3,34.1,2.8,309,3.88,01.09.23
33,manipur,185,0,2.6,2.6,0.0,31,0.00,01.09.23
34,meghalaya,284,50,5.3,-0.2,0.0,63,0.81,01.09.23
35,mizoram,116,0,1.8,1.3,-0.3,12,0.00,01.09.23
36,nagaland,169,0,3.1,2.8,-0.1,8,0.00,01.09.23
37,tripura,329,0,6.2,6.0,0.1,30,0.00,01.09.23
0,punjab,11799,0,239.0,107.1,22.9,1524,0.00,01.10.23
1,haryana,8549,0,186.2,59.1,66.3,3436,0.00,01.10.23
2,rajasthan,13042,0,287.2,64.4,11.9,1009,0.00,01.10.23
3,delhi,5068,0,102.9,63.9,26.0,1530,0.00,01.10.23
4,up,23762,0,468.0,155.1,51.3,3088,0.00,01.10.23
5,uttarakhand,2079,0,44.2,24.3,2.3,264,0.00,01.10.23
6,hp,1487,0,30.6,13.2,-0.2,94,0.00,01.10.23
7,j&k(ut)&ladakh(ut),2413,0,48.0,31.2,3.7,413,0.72,01.10.23
8,chandigarh,233,0,4.9,4.5,0.4,44,0.00,01.10.23
9,railways_north,181,0,3.6,1.5,2.1,112,0.00,01.10.23
10,chhattisgarh,4500,0,101.5,47.8,-2.1,206,0.00,01.10.23
11,gujarat,18347,0,399.3,168.4,0.1,609,0.00,01.10.23
12,mp,11901,0,255.3,143.5,-3.9,473,0.00,01.10.23
13,maharashtra,21483,0,470.9,190.0,-7.3,442,0.00,01.10.23
14,goa,588,0,11.8,11.2,0.0,37,0.00,01.10.23
15,dnhddpdcl,1203,0,27.8,28.1,-0.3,19,0.00,01.10.23
16,amnsil,802,0,18.0,9.9,-0.3,266,0.00,01.10.23
17,balco,521,0,12.4,12.5,-0.1,10,0.00,01.10.23
18,andhrapradesh,9442,0,204.4,32.5,21.8,636,0.00,01.10.23
19,telangana,236,0,239.7,90.8,27.2,873,0.00,01.10.23
20,karnataka,10826,0,203.0,30.1,15.7,458,0.00,01.10.23
21,kerala,3295,0,67.6,34.1,15.5,205,0.00,01.10.23
22,tamilnadu,14471,0,317.4,91.6,48.6,643,0.00,01.10.23
23,puducherry,407,0,9.4,7.7,0.9,43,0.00,01.10.23
24,bihar,5753,0,117.2,110.9,-2.3,446,0.58,01.10.23
25,dvc,3123,0,66.7,-38.5,0.2,303,0.00,01.10.23
26,jharkhand,1357,0,28.4,22.1,-3.1,89,0.00,01.10.23
27,odisha,5647,0,119.5,56.2,-2.4,408,0.00,01.10.23
28,westbengal,7999,0,168.5,45.3,-1.7,395,0.00,01.10.23
29,sikkim,68,0,1.0,1.0,0.1,21,0.00,01.10.23
30,railways_east,15,0,0.2,0.2,0.0,0,0.00,01.10.23
31,arunachalpradesh,172,0,3.0,2.7,0.0,39,0.00,01.10.23
32,assam,2226,0,41.0,31.7,2.0,299,0.00,01.10.23
33,manipur,182,0,2.6,2.6,-0.1,17,0.00,01.10.23
34,meghalaya,316,0,6.0,3.7,-0.3,36,0.05,01.10.23
35,mizoram,116,0,1.6,1.2,-0.2,18,0.00,01.10.23
36,nagaland,161,0,2.9,2.6,-0.2,10,0.00,01.10.23
37,tripura,329,0,5.3,5.6,-0.1,50,0.00,01.10.23
0,punjab,5591,0,112.9,36.3,-1.3,81,0.12,02.04.23
1,haryana,4878,0,98.2,69.2,-0.9,148,0.00,02.04.23
2,rajasthan,10250,0,200.5,37.1,-9.1,276,0.00,02.04.23
3,delhi,3360,0,64.0,62.9,-1.2,81,0.00,02.04.23
4,up,16242,0,286.8,95.8,-3.8,492,0.00,02.04.23
5,uttarakhand,1746,0,33.6,20.8,-0.1,107,0.00,02.04.23
6,hp,1588,0,28.3,16.3,0.0,67,0.10,02.04.23
7,j&k(ut)&ladakh(ut),2680,0,55.5,47.9,-1.3,110,1.01,02.04.23
8,chandigarh,161,0,2.9,3.0,-0.1,15,0.00,02.04.23
9,railways_north,155,0,3.2,3.3,0.0,33,0.00,02.04.23
10,chhattisgarh,4862,0,111.3,57.7,-1.3,245,0.00,02.04.23
11,gujarat,16934,0,379.6,180.4,-0.8,618,0.00,02.04.23
12,mp,10825,0,226.1,133.1,-3.1,417,0.00,02.04.23
13,maharashtra,25611,0,540.7,184.9,0.7,919,0.00,02.04.23
14,goa,607,0,11.4,11.8,-0.9,35,0.49,02.04.23
15,dnhddpdcl,1111,0,25.9,26.2,-0.3,26,0.00,02.04.23
16,amnsil,854,0,18.4,5.7,0.6,251,0.00,02.04.23
17,balco,514,0,12.3,12.4,-0.1,4,0.00,02.04.23
18,andhrapradesh,10824,0,211.5,76.6,-1.4,382,0.00,02.04.23
19,telangana,13590,0,279.1,147.2,2.2,670,0.00,02.04.23
20,karnataka,14268,0,271.0,124.6,-3.0,865,0.00,02.04.23
21,kerala,4111,0,82.6,68.7,-0.2,149,0.00,02.04.23
22,tamilnadu,14905,0,333.9,199.8,-0.9,797,0.00,02.04.23
23,puducherry,393,0,9.2,9.3,-0.7,17,0.00,02.04.23
24,bihar,4906,0,93.2,85.1,-3.1,306,0.15,02.04.23
25,dvc,3370,0,70.8,-42.2,-0.2,426,0.00,02.04.23
26,jharkhand,1308,0,28.8,21.2,-0.9,102,0.30,02.04.23
27,odisha,5697,0,109.4,50.1,-2.9,345,0.00,02.04.23
28,westbengal,6483,0,131.1,12.4,-1.7,322,0.00,02.04.23
29,sikkim,77,0,1.2,1.3,-0.1,39,0.00,02.04.23
30,arunachalpradesh,134,0,2.3,2.8,-0.6,30,0.00,02.04.23
31,assam,1327,0,23.2,17.2,-0.2,114,0.00,02.04.23
32,manipur,189,0,2.6,2.8,-0.2,25,0.00,02.04.23
33,meghalaya,329,33,5.2,3.3,0.4,64,1.13,02.04.23
34,mizoram,107,0,1.6,1.6,-0.3,14,0.00,02.04.23
35,nagaland,132,0,1.9,2.1,-0.2,12,0.00,02.04.23
36,tripura,224,0,3.5,3.2,-0.3,32,0.00,02.04.23
0,punjab,6350,0,139.1,72.6,-2.5,116,0.00,02.05.23
1,haryana,6214,0,130.4,93.3,-0.8,272,0.00,02.05.23
2,rajasthan,11374,0,217.5,69.4,-4.0,362,0.00,02.05.23
3,delhi,3682,0,74.5,67.4,-3.0,1,0.00,02.05.23
4,up,17285,220,300.2,119.6,1.3,540,1.19,02.05.23
5,uttarakhand,1768,0,36.7,18.0,0.0,219,0.00,02.05.23
6,hp,1582,0,29.2,10.8,0.0,68,0.00,02.05.23
7,j&k(ut)&ladakh(ut),2725,0,56.1,42.3,-0.7,217,0.28,02.05.23
8,chandigarh,186,0,3.7,4.0,-0.3,27,0.00,02.05.23
9,railways_north,179,0,3.8,3.2,0.6,38,0.00,02.05.23
10,chhattisgarh,4074,0,87.2,31.9,-2.4,180,0.00,02.05.23
11,gujarat,17915,0,391.1,196.0,-0.6,726,0.00,02.05.23
12,mp,8418,0,176.1,90.0,-2.3,396,0.00,02.05.23
13,maharashtra,23867,0,510.8,214.0,1.0,1320,0.00,02.05.23
14,goa,709,0,14.8,14.6,-0.4,39,0.00,02.05.23
15,dnhddpdcl,1205,0,26.8,27.1,-0.3,60,0.00,02.05.23
16,amnsil,772,0,16.6,10.8,-0.2,257,0.00,02.05.23
17,balco,514,0,12.3,12.4,-0.1,2,0.00,02.05.23
18,andhrapradesh,8546,0,183.1,53.7,0.5,525,0.00,02.05.23
19,telangana,7172,0,152.8,41.6,-0.8,537,0.00,02.05.23
20,karnataka,12117,0,230.3,90.8,1.0,866,0.00,02.05.23
21,kerala,4187,0,85.4,67.5,-0.3,176,0.00,02.05.23
22,tamilnadu,14632,0,299.0,188.5,-4.3,362,0.00,02.05.23
23,puducherry,402,0,8.5,8.8,-1.0,26,0.00,02.05.23
24,bihar,5343,231,97.7,89.0,-0.9,393,0.65,02.05.23
25,dvc,3458,0,72.5,-35.0,0.2,365,0.00,02.05.23
26,jharkhand,1572,0,31.1,25.4,-2.9,158,0.11,02.05.23
27,odisha,5431,0,108.6,35.5,-1.8,382,0.00,02.05.23
28,westbengal,7897,0,160.2,29.8,-3.5,120,0.00,02.05.23
29,sikkim,104,0,1.5,1.6,0.0,57,0.00,02.05.23
30,railways_east,14,0,0.1,0.0,0.1,14,0.00,02.05.23
31,arunachalpradesh,144,0,2.4,2.8,-0.5,20,0.00,02.05.23
32,assam,1495,0,29.0,22.6,-0.8,151,0.00,02.05.23
33,manipur,193,0,2.7,2.8,-0.1,54,0.00,02.05.23
34,meghalaya,322,66,5.5,4.0,0.1,45,1.49,02.05.23
35,mizoram,117,0,1.8,1.8,-0.3,9,0.00,02.05.23
36,nagaland,145,0,2.4,2.4,-0.1,18,0.00,02.05.23
37,tripura,321,0,5.8,5.3,0.6,51,0.00,02.05.23
0,punjab,6457,0,139.3,52.6,-0.8,195,0.00,02.06.23
1,haryana,7342,0,149.9,106.5,-2.4,71,0.00,02.06.23
2,rajasthan,11302,0,239.8,44.0,-5.2,167,0.00,02.06.23
3,delhi,4567,0,94.0,90.7,-2.5,56,0.00,02.06.23
4,up,24258,0,473.6,214.6,0.4,403,0.60,02.06.23
5,uttarakhand,2146,0,45.2,24.2,0.4,165,0.45,02.06.23
6,hp,1550,0,27.9,1.2,0.1,128,0.00,02.06.23
7,j&k(ut)&ladakh(ut),2589,250,53.5,26.6,0.9,369,0.49,02.06.23
8,chandigarh,213,0,4.4,4.4,-0.1,28,0.00,02.06.23
9,railways_north,177,0,3.9,3.2,0.7,54,0.00,02.06.23
10,chhattisgarh,4756,0,107.9,48.7,-1.2,195,0.00,02.06.23
11,gujarat,21048,0,443.2,208.0,0.7,849,0.00,02.06.23
12,mp,11718,0,259.0,142.9,-2.1,452,0.00,02.06.23
13,maharashtra,27020,0,593.2,231.9,-0.4,754,1.07,02.06.23
14,goa,717,0,15.8,15.1,0.5,89,0.00,02.06.23
15,dnhddpdcl,1244,0,28.9,29.3,-0.4,151,0.00,02.06.23
16,amnsil,734,0,15.6,6.5,-0.2,217,0.00,02.06.23
17,balco,518,0,12.4,12.5,-0.1,5,0.00,02.06.23
18,andhrapradesh,11925,0,243.0,66.8,0.9,986,0.00,02.06.23
19,telangana,10038,0,203.6,89.1,1.3,700,0.00,02.06.23
20,karnataka,11971,0,241.6,64.7,-0.5,647,0.00,02.06.23
21,kerala,4616,0,93.1,66.8,0.5,293,0.00,02.06.23
22,tamilnadu,18165,0,386.1,190.7,-0.6,493,0.00,02.06.23
23,puducherry,505,0,11.0,10.8,-0.5,97,0.00,02.06.23
24,bihar,6484,419,133.4,123.3,-0.2,403,9.72,02.06.23
25,dvc,3369,0,74.0,-41.1,0.3,300,0.00,02.06.23
26,jharkhand,1765,0,37.2,30.4,-1.7,261,2.14,02.06.23
27,odisha,6130,0,129.7,53.0,-1.0,442,0.00,02.06.23
28,westbengal,11258,0,233.9,124.0,-3.5,190,0.00,02.06.23
29,sikkim,98,0,2.0,1.7,0.3,42,0.00,02.06.23
30,railways_east,8,0,0.1,0.3,-0.2,0,0.00,02.06.23
31,arunachalpradesh,165,0,2.6,2.3,0.3,50,0.00,02.06.23
32,assam,2206,0,43.5,35.2,1.8,313,0.55,02.06.23
33,manipur,182,0,2.5,2.4,0.1,19,0.00,02.06.23
34,meghalaya,329,62,4.6,3.0,0.2,106,1.62,02.06.23
35,mizoram,121,0,1.9,1.8,-0.2,26,0.00,02.06.23
36,nagaland,164,0,2.8,2.8,-0.2,17,0.00,02.06.23
37,tripura,343,0,6.6,6.2,1.0,146,0.00,02.06.23
0,punjab,14182,0,306.7,203.9,-0.7,142,0.00,02.07.23
