Date,Punjab,Haryana,Rajasthan,Delhi,UP,Uttarakhand,HP,J&K,Chandigarh,Chhattisgarh,Gujarat,MP,Maharashtra,Goa,DD,DNH,Essarsteel,AndhraPradesh,Telangana,Karnataka,Kerala,TamilNadu,Pondy,Bihar,DVC,Jharkhand,Odisha,WestBengal,Sikkim,ArunachalPradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura,Railways_NR,DNHDDPDCL,AMNSIL,BALCO,Railways_ER,Ladakh,NR,WR,SR,ER,4469.4
01-02-2021,140.6,139.3,266.1,69.7,312.5,41.9,32,55.6,3.8,89.6,348.7,285,476.5,10.3,7.1,19.1,19.8,184.1,245,232,74,286,7.5,93.3,67.7,26.3,74.4,126.8,1.7,2.3,24.2,2.7,6.6,1.6,2,3.8,,,,,,,,,,,
02-02-2021,142.2,141.3,268.1,69.3,311.5,41.5,31.7,54.1,3.8,92.3,353.4,287.8,481.8,9.9,7.6,19.5,18,183.8,240.3,235,74.5,297.1,7.7,95,69.1,25.9,73.9,130.1,1.9,2.4,24.7,2.8,6.6,1.9,2.3,3.9,,,,,,,,,,,
03-02-2021,135.1,141,269.7,68.4,306.2,41,33.1,53.5,3.8,93.5,350.7,288.4,486.5,10.1,7.8,19.7,18.6,183.4,243.5,236.6,75.7,296.9,7.8,92,69.5,26.2,73.7,130.2,1.9,2.3,24.6,2.8,6.8,1.7,2.5,3.6,,,,,,,,,,,
04-02-2021,120.8,125.7,267.9,68.6,279.5,39.9,32.2,55.6,4.1,94.4,352.9,286,485.8,9.8,7.7,19.9,18.4,184.7,242,236.6,74.9,294,7.7,89.1,68.2,26.1,72.3,129.3,1.7,2.3,25,3.1,6.7,1.7,2.5,3.2,,,,,,,,,,,
05-02-2021,129.2,130,267.9,70.4,276.4,38.4,32.1,55.1,3.9,95.4,352.2,282.8,484.4,10,7.7,18.1,18,187.8,244.1,239.5,74.1,299.1,7.7,89.7,67.7,28.7,71.6,129.2,1.6,2.4,23.8,3,7.1,1.7,2.5,3.7,,,,,,,,,,,
06-02-2021,134.5,132.8,266.5,64.1,280.5,40.4,36.9,55.7,3.6,95.5,348.3,278.1,484.6,9.9,7.6,19.4,18.2,187.1,241.7,239.1,74.1,293,7.8,83.4,66.6,26.5,74,129.4,1.9,2.3,24.2,2.9,6.7,1.7,2.2,3.6,,,,,,,,,,,
07-02-2021,125.7,120.8,264.5,63,284.5,37.9,27.5,54.4,3.3,93.9,336.3,279.2,467.6,8.7,6.8,19.1,18.1,181.7,231.8,221.3,66.7,271.1,7.2,84.7,68.3,25.5,89.8,117.6,1.4,2.3,22.7,2.7,6.4,1.7,2.1,3.5,,,,,,,,,,,
01-03-2021,131.5,134.7,264.4,62.1,307.8,36.1,31.1,50.9,3.1,104.9,371.6,259.4,514.9,10.2,7,19.7,15.3,205.1,259.4,244.6,81.7,315,7.3,85.7,65.2,25.7,86.6,152.3,1.2,2.3,24.5,2.6,6.2,1.7,2.3,4,,,,,,,,,,,
02-03-2021,141.5,134.8,264.6,61.8,295.9,37.9,31.3,51.7,3.1,106.7,371.3,261.4,527.4,11.1,7.6,20,15.3,207.8,262.5,253.5,81.5,325.2,7.6,87.4,66.5,26.8,87.1,155.4,1.2,2.4,24.9,2.6,5.2,1.7,2,4,,,,,,,,,,,
03-03-2021,142.9,137.9,264.8,62.8,304.3,38.4,31.9,50.2,3.2,105.7,369.1,260,526.5,11.6,7.8,20.3,14.6,204.7,264,247.3,81.6,322.6,7.6,84.5,68.3,26.9,85.4,153.2,1.2,2.1,24.9,2.5,5.4,1.6,2,3.9,,,,,,,,,,,
04-03-2021,143.8,143.3,263.6,62.6,313.4,38,31.5,50.3,3.2,102.3,376.1,257.6,526.1,11.4,7.8,20.3,13.9,204.6,265.6,249.5,80.1,324.9,7.8,86.6,67,27.9,87.3,149.3,1.4,2.1,25.5,2.7,5.3,1.6,2,4.2,,,,,,,,,,,
05-03-2021,144.2,141.1,263.4,65.4,311.9,38.4,32.8,51.4,3.2,105.9,386.4,252.9,526.8,11.1,7.8,20.2,16.1,210.1,268.1,259.9,80.7,333.8,7.8,89.5,69.7,26.7,85.2,155.5,1.7,2.2,24.1,1.5,5.4,1.7,1.9,4.2,,,,,,,,,,,
06-03-2021,141.5,138.7,262,61.1,311.5,38.4,31.4,51.7,3.1,105.5,387.1,253.3,533.1,11.7,7.8,20.2,16.3,209.8,265.2,257,81.9,335,7.9,86.3,68.1,26.6,88.9,156.4,1.8,2.1,21.1,2.3,4.8,1.6,2.2,3.4,,,,,,,,,,,
07-03-2021,118.4,121.8,256.6,59.9,310.3,35.3,28.4,50.3,2.9,105.3,365.8,248.6,515.5,10.1,7.2,19.8,16.6,208.4,261.2,245.1,76.8,311.7,7.3,88.3,66.1,26.7,100,144.8,1.5,2.2,22.1,2.4,5.1,1.6,2.2,3.4,,,,,,,,,,,
01-04-2019,124.3,117.9,213.8,72,311.1,34.1,24.9,44.5,3.3,99,359.3,205.9,477.1,12,6.5,17.3,11.1,195.1,218.5,243.7,84.7,342.7,8,75.7,64.8,22.8,81.3,145.8,1.1,2,18,2.3,4.9,1.5,1.9,2.6,,,,,,,,,,,
02-04-2019,124.4,124,216.6,75,320.1,35.6,24.7,45.4,3.5,99.6,366.9,206.3,485.9,12,7,17.6,11.2,195.8,225.3,247.8,85.3,350.4,8.4,83,64.7,24.3,95.3,168.7,1.3,2,19.8,2.1,5.3,1.7,1.9,2.4,,,,,,,,,,,
03-04-2019,130.8,126,220.4,77.3,322.8,36.5,25.4,45.4,3.6,100.4,370.5,208.1,494.1,12,7.3,18.1,12.6,196.5,227.7,248.6,86.4,357.3,8.5,82.9,65.6,26.3,105.7,172.6,1.4,2.1,20.4,2.1,5.4,1.8,2,2.4,,,,,,,,,,,
04-04-2019,129.4,127.3,218.4,81.3,331.4,37,25.8,45.2,3.7,101.8,377.4,209.8,492.8,12,7.5,18.2,12.8,197.6,219.5,246.5,84.7,356.9,8.5,85,66.7,25.2,112.3,174.4,1.5,2.1,23.3,2.4,5.4,1.6,2.1,3.3,,,,,,,,,,,
05-04-2019,132.1,129.7,205.6,85.6,336.7,37.8,26.2,45.2,4,103,379.8,205.2,472.8,12,7.4,18.4,14.1,197.3,212.5,242.8,83.9,355.1,8.7,85.4,67.7,24,113,169.8,1.4,2.1,21.7,2.3,5.4,1.5,2,3.6,,,,,,,,,,,
06-04-2019,132.1,128.4,207,83.9,334.6,38.2,27,43,4,101.8,377.2,203.3,475.3,12,7.5,18.2,14.1,186.1,207.2,226.7,85.1,353.5,8.6,70,64.1,19.3,111.6,145.5,1.2,2,24.2,2.5,5.7,1.6,2,3.3,,,,,,,,,,,
07-04-2019,120.4,111.2,201.4,83.6,287.3,35.2,24.3,42.6,3.5,102.4,362.5,200.1,470.5,12,7.4,18.4,6.4,181.9,197,218.6,78.7,323.7,7.9,61.7,62.9,17.7,95.1,110.4,1.2,2.1,20.3,2.5,5.8,1.6,2.1,3.3,,,,,,,,,,,
01-05-2023,142.2,129.6,211,76.6,293.1,34.3,27.9,56.4,4,84.6,386.8,176,483.4,13.7,,,,176.1,137.9,223.7,82,298.3,7.9,95.6,70.8,31.3,109,144.7,1,2.6,27.8,2.7,5.4,1.9,2.4,,3.8,25,16.4,12.3,0.7,,,,,,
02-05-2023,139.1,130.4,217.5,74.5,300.2,36.7,29.2,56.1,3.7,87.2,391.1,176.1,510.8,14.8,,,,183.1,152.8,230.3,85.4,299,8.5,97.7,72.5,31.1,108.6,160.2,1.5,2.4,29,2.7,5.5,1.8,2.4,,3.8,26.8,16.6,12.3,0.1,,,,,,
03-05-2023,140.1,129.5,222.2,74.7,308.1,37.2,28.4,55.9,3.7,87.9,388.3,184.1,512.2,15.6,,,,188.6,160.4,242.4,87,313.6,8.8,110.5,73.7,29.3,105.9,181.2,1.6,2.5,30.6,2.7,5.3,1.8,2.4,,4,28.9,17,12.3,0.1,,,,,,
04-05-2023,143.1,132.7,235.9,74.1,303.9,38,28,55.3,3.8,94,399,189.6,512.1,15,,,,193,167.1,251.2,90,314.2,8.8,103.3,74.1,29.4,108,174.6,1.6,2.3,30.4,2.3,5.2,1.8,2,,4,29.2,15.8,12.3,0.6,,,,,,
05-05-2023,148.7,146.1,252.1,79,352.8,40.6,29.7,56.5,3.8,99.3,409.5,202,507.1,15.2,,,,193.2,171.5,253.1,90.7,314.9,9.1,111.9,78,31.5,111.8,178.8,1.6,2.5,32,2.2,5.1,1.9,2.4,,3.9,29.3,17.7,12.4,0.1,,,,,,
06-05-2023,158,150,263.9,81.3,371.7,41.2,29.9,52.3,4,102.4,412.1,214.7,541.7,15.2,,,,194.8,169.5,249.8,89.7,307,9.3,116.8,76.5,32,113.3,195,1.4,2,32.8,2.2,5.6,1.9,2.5,,3.9,29.2,17.6,12.3,0.1,,,,,,
07-05-2023,136.3,138.6,262.2,82.1,381.5,38.9,25.5,51.9,4.2,102.6,403.3,221,526.2,13.7,,,,190.3,162.6,222.8,81.6,279.5,8.7,123.1,77.7,33.4,118.9,195,1.1,2.3,33.3,2.2,5.5,1.8,2.4,,3.6,28.1,17.9,12.4,0.1,,,,,,
01-07-2019,290.1,228.1,247.9,145.2,454.3,46.5,29.6,44.4,7.2,80.8,330.7,172.7,376.7,10,6.6,17.4,4.7,169.9,144.8,184.6,76.4,334.9,8.4,104.7,64.6,23.4,76.5,167.6,1.1,2.3,33,2.5,5.6,1.9,2.3,5.3,,,,,,,,,,,
02-07-2019,282.1,223.9,237.5,147.1,441.3,45.4,30.6,45.6,7.2,73.1,339,167.2,380.3,10,7.1,17.8,5.1,171.9,145.5,192.6,77.1,339.7,8.7,92.6,63.2,20.2,74.6,164.7,1.2,2.2,31.7,2.6,6,1.7,2.2,4.8,,,,,,,,,,,
03-07-2019,300,237.2,242.7,145.3,433.9,47,31.8,45.9,7.4,73.8,331.1,156.6,387,10,7.5,18.5,4.7,171.4,146.3,195.9,75.2,342.8,8.9,99.3,65.3,21.9,80.4,164.8,1.2,2.2,30.9,2.4,6.2,1.7,2.6,5,,,,,,,,,,,
04-07-2019,289.9,208.2,237.3,139.2,441.2,45.2,30,41.6,6.1,79.8,318.1,161.1,392.8,10,7.5,18.8,5.3,179.4,152.5,195.4,73.4,346.7,9.4,106.2,66.3,22.7,81.6,176.1,1.2,2.4,35,2.5,5.9,1.7,2.5,5.1,,,,,,,,,,,
05-07-2019,284.4,205.8,220.9,126.4,403,45.1,29.9,41.9,6.5,81.1,322.7,157.7,386.3,10,7.6,18.6,5.1,169.3,152.5,191.5,72.8,347.2,9.5,107.8,65.5,23.4,81,177.9,1.2,2.2,34,2.6,5.8,2,2.2,5.6,,,,,,,,,,,
06-07-2019,271.4,210.4,218.1,122.3,364.9,44.2,29.9,41,6,77.9,321.8,154.9,382.6,10,7.5,18.6,5.5,179.4,150.4,183.5,72.7,336.3,9.5,101.6,64,22.6,79.7,161.8,1,2.1,30.9,2.3,5.6,1.7,2,5.2,,,,,,,,,,,
07-07-2019,270,199.5,201.3,119.6,377.9,42.2,25,43,5.6,79,305.1,157.1,367.1,10.5,6.7,17.3,6.7,175.1,147.3,172.9,65.4,317.2,8.7,83.7,65.3,21.5,80.6,144.9,0.8,2.2,26.8,2.4,5.9,1.4,2.1,4.3,,,,,,,,,,,
01-08-2022,217,172.9,235,113,446.1,43.4,28.3,46.9,5.9,117.9,346.7,238.2,479,12.5,,,17.6,196.9,216.6,169.2,69.8,303.3,9.7,119,72.6,32.3,137.6,182.4,1.5,2.5,35.3,2.7,6.1,1.7,2.7,5.2,,26.2,,,,,,,,,
02-08-2022,262,198.1,246.6,121.3,463,45.3,31.9,50.6,6.5,120,355.5,240.7,493.4,12.6,,,18.4,191.5,209.3,156.8,67.2,308.9,9.6,116.9,73.3,31.1,138.3,190.3,1.5,2.5,39.8,2.6,5.9,1.8,2.6,5.6,,27,,,,,,,,,
03-08-2022,282.2,213,254.8,125.9,463.5,44.4,33,53.4,6.8,121.2,357.5,238.1,495.1,12.7,,,18.4,185.3,200.5,162.3,66.9,295.4,9.5,131.3,72.6,29.9,142.1,187,1.6,2.4,40.4,2.6,6,1.6,2.6,5.6,,27.2,,,,,,,,,
04-08-2022,274,206.8,251.9,122.9,463.9,44.2,32.9,53.6,6.5,115.7,364.6,234.9,483.8,12.1,,,18.6,187.8,194.8,160.2,65.4,289.8,9.1,128.3,71.1,29.9,142,189,1.5,2.6,42.8,2.7,5.9,1.7,2.8,5.6,,27.7,,,,,,,,,
05-08-2022,268.4,191.4,244.7,117.5,463.2,43.5,33.4,49.2,6.5,119.7,350.7,237.1,466.1,12.5,,,18.7,183.4,193.8,159.2,64.9,286.9,9,139.3,72.9,32.6,139,197.9,1.6,2.6,43.7,2.6,6.2,1.7,2.8,5.4,,27.7,,,,,,,,,
06-08-2022,268.5,193.4,245.6,115.2,484.8,45.1,33.3,49.3,6.4,113.5,345.9,239.8,465.5,12.4,,,19,171.2,197,150.3,66,282.6,9.1,137.7,74.1,33.8,127.5,191.2,1.4,2.3,43.2,2.7,6.1,1.8,2.7,5.5,,27.8,,,,,,,,,
07-08-2022,270.4,177.4,248.3,104.9,423.6,40.9,31.4,50.2,5.7,105.3,328.7,225.1,442.9,11.1,,,19.4,168.4,181.3,156.6,61.6,269.3,8.5,136,73.6,33.6,127.3,179,1.1,2.2,43.1,2.7,5.8,1.8,2.7,5.5,,26.5,,,,,,,,,
01-10-2018,157,135.5,211.7,94.4,362.5,37.7,26.2,38.9,4.2,102.4,386.4,208.6,491.5,13.2,6.5,17.1,5.9,184.4,213.9,175.6,72.1,295,6.9,98.9,53.1,23.4,114.8,171.2,1.1,2.2,29.1,2.2,5.2,1.4,2.4,5,,,,,,,,,,,
02-10-2018,151.8,133.7,211.5,83.7,357.2,32.5,23.3,40,3.6,101.4,398.2,209.8,486.1,13.2,6,16.5,4.9,189.1,208.6,168.7,65,277,6.7,104,57.9,24.2,123.5,174.7,0.9,2,28.3,2.4,5.2,1.4,2.4,4.9,,,,,,,,,,,
03-10-2018,170.9,146,214.4,95.7,362.4,36.7,26.3,27.8,4.2,102,398.2,212.4,499.4,12.2,6.5,17.1,6,192.5,209.7,186,66.8,280.2,7.2,98.4,58,24.2,114.7,181.7,1.2,2.3,27.6,2.4,4.9,1.4,2.4,4.3,,,,,,,,,,,
04-10-2018,174.7,154.4,217.7,98.7,359.6,38.4,26.1,39.3,4.2,103.7,401.6,213.7,485.8,13.2,6.9,16.4,5.9,188.6,218,183.1,66.9,268.2,6.6,98.4,55.5,22.4,115.8,181.9,1.2,2.3,29.3,2.2,5,1.6,2.3,4.2,,,,,,,,,,,
05-10-2018,177.1,156.1,219.9,97.3,358.9,38.1,27.4,40.1,4.1,104.4,396.2,216.1,488.3,14,5.6,17,6.7,182.5,227.6,181.4,68.5,262.2,6.7,93.8,58,21.1,117.8,192.6,1.1,2.2,29.8,2.3,5,1.6,2.3,5.2,,,,,,,,,,,
06-10-2018,177.9,154.3,216.7,91.9,352.1,38.5,27.2,40.1,3.9,103.9,397.2,219.9,494.8,14.2,6.8,17.5,6.6,183.7,229.4,176.9,68.3,254.1,6.4,97.4,61.3,24.6,115.3,173.3,1.2,2.1,28.7,2.3,4.9,1.5,2.3,4.8,,,,,,,,,,,
07-10-2018,165.2,140.9,209.5,84.9,360.7,35.2,25.3,38.9,3.3,103.9,385.5,219.3,491.1,14,7.2,17.3,6.2,186.5,228.3,166.8,63.1,244.2,6,95,62.7,24.3,116,162.7,0.9,2.3,27,3.1,4.8,1.6,2.3,4.5,,,,,,,,,,,
01-11-2021,114.8,119.5,230.1,65.4,259.5,34.3,31.5,49.9,3.1,81.3,355.9,221,496.8,13.8,7.4,19.2,17.5,167.1,167.9,164.5,71.3,270.7,7.4,76.9,65.3,25.4,113,126.7,1.6,2.1,26.6,2.5,6.6,1.5,2.3,4.2,,,,,,,,,,,
02-11-2021,115.8,121.3,231.9,65.3,274.5,35,31.4,47.3,3.1,81.6,347.7,229.5,507,13.9,7.5,19.3,17.1,163.6,167.2,174.7,71.5,266.9,7.3,76,65.3,25.7,110.5,131.1,1.5,2.3,28.2,2.6,6.6,1.6,2.3,3.8,,,,,,,,,,,
03-11-2021,117.6,115.5,229.8,63,276.5,32.3,30.4,46.7,3.1,81.3,321.3,231.8,492.2,13.8,7,18.8,19.1,160.9,164.1,178.5,71.9,243.9,7.2,78.2,66.9,26.7,113.2,132.4,1.5,2.3,27.8,2.6,6.6,1.6,2.5,3.9,,,,,,,,,,,
04-11-2021,92.6,91.2,212.1,55.7,267,26.7,23.5,48.3,2.6,75.3,266.5,229.1,440.5,10.6,4,13.6,18.1,150.1,151.3,173.4,67.5,185.2,5.1,80.6,66.7,28.8,117,121.6,1.1,2.3,26,2.7,5.9,1.7,2.5,3.9,,,,,,,,,,,
05-11-2021,79.2,84.5,198.9,51.8,241.2,25.2,21.2,51.9,2.5,69.5,235,218.7,426.8,10.8,3.4,12.9,18.1,155.7,156.6,160.1,71.2,195.9,6.1,79.1,65.2,27.6,115.3,117.7,1.1,2.3,24.8,2.6,6.1,1.7,2.3,3.9,,,,,,,,,,,
06-11-2021,101.6,95.8,211.6,52,241.5,27.3,25.5,51.1,2.8,72.3,254.1,224.9,433,11.6,4.6,15.7,17.6,162.7,161.4,165.6,73.3,222.5,7.1,78.7,65,26.4,106.8,112.9,1.1,2.3,25.1,2.5,6.3,1.7,2.4,3.8,,,,,,,,,,,
07-11-2021,105.2,99.5,223.5,54.8,242.4,29.1,27.4,47.1,2.6,73,269,231.6,443.1,11.6,5.9,17.4,18.5,160,155.3,160.1,67.7,219.7,6.7,75.4,64.4,26.3,102.2,107.7,1.2,2.2,24.4,2.5,6.2,1.7,2.2,3.6,,,,,,,,,,,
02-01-2023,141.2,139.2,299.4,78.2,340.9,42.5,34.2,61.7,4.8,100.9,376.7,312.4,532.5,12.5,,,,195.6,229.2,225.3,75.2,298.4,8.2,89,70.3,27.2,93.7,120.6,2,2.5,24.5,3.1,7.1,2,1.9,,,25.2,16.3,12.3,,,,,,,
03-01-2023,150.5,147.6,305.2,81.4,354.9,44.1,34.7,63.7,4.8,103.2,380.4,319.3,541.4,14.7,,,,198.4,233.1,229.2,75.8,308.5,8.5,95.5,72.9,30,98,119.8,2,2.6,25.8,3.6,7.4,2.1,2,,,27.3,16.8,12.3,,,,,,,
04-01-2023,158,153.2,299.6,85.6,373.1,45.1,35.9,62.5,5,99.3,374.9,313.4,522.2,14.4,,,,197.9,234.5,231.6,75.7,314.2,8.6,97.6,75.3,29.3,92.6,124.3,2,2.6,25.9,3.6,7.5,2.1,2.1,,,27.8,16.8,12.3,,,,,,,
05-01-2023,154.6,150.5,295.1,85.6,374.8,45,36.2,62.1,5.2,100.2,382.3,317.1,548.7,14.4,,,,197.1,232.4,229.7,75.7,314,8.5,99.1,74.7,30.3,91.7,126.8,2.1,2.6,26.3,3.5,7.3,2,2.1,,,28.2,16.3,12.3,,,,,,,
06-01-2023,146.5,151.9,294.1,88,378.6,44.4,37,62.6,5.4,100.4,388,317,546.5,14.1,,,,197.3,225.9,233.7,75.6,316.6,8.6,102.4,72.8,29.2,89.1,127.8,2,2.4,26.2,3.4,6.8,2,2.1,,,28.2,15.2,12.4,,,,,,,
07-01-2023,156.6,150.1,303.1,84.6,363.8,43.7,36.3,63.8,5.2,100,398.2,317.5,543.9,14,,,,196.7,225.7,229.7,76.1,307.2,8.6,101.7,73.8,29.1,88.9,130.2,1.9,2.3,26,3.4,7.3,2.1,2.2,,,28.3,16.3,12.3,,,,,,,
08-01-2023,152.7,137.2,315.5,81.5,371.4,43.7,32.8,62.1,4.8,98.8,386.2,320.3,522.2,12.1,,,,185.4,221.2,214.9,70.3,283.7,7.8,101.3,74.6,29.2,89.9,118.7,1.6,2.5,25,3.3,7.3,2,2.2,,,27.2,17.6,12.3,,,,,,,
02-03-2020,111.2,110.4,236.5,61.5,250.8,33.8,27.5,46.8,3.1,91.3,360.1,226.7,476.6,10.9,7.1,18.6,7.3,195.3,248.6,237.2,78.9,323,7.5,72.1,63.8,24.2,72.4,120.1,1.4,2.1,22.5,2.7,5.6,1.6,2.1,3.5,,,,,,,,,,,
03-03-2020,116.5,119.5,244.7,62.8,257.1,35,28.4,46.9,3.4,86.2,363.1,234.3,490.8,11,7.6,19,6.6,195.9,254,245.1,79.9,334,7.9,73.1,62.9,22.9,71.6,115.5,1.5,2.2,20.3,2.5,5.7,1.6,2.2,3.4,,,,,,,,,,,
04-03-2020,114,114,225.9,63.9,250,35.1,28.2,45.4,3.4,84.3,356.5,232.1,490.1,11,7.7,19.2,7.5,201.2,254.1,244.5,80,337.3,8.1,73.5,59.7,21.7,69.9,111.4,1.7,2.1,21.3,2.8,5.5,1.7,2.2,3.5,,,,,,,,,,,
05-03-2020,101.7,97.2,215.6,62.9,230.3,34.8,29.4,45.7,3.3,85.1,354.3,232,491.6,10.4,7.5,19.5,8.1,199.5,247.3,251.9,79.2,336.3,8,73.5,60.3,20.3,69.3,115.5,1.7,2.1,22.5,2.6,5.9,1.6,2.1,3.5,,,,,,,,,,,
06-03-2020,91.6,87.6,153.3,64.4,209.5,32.9,29.6,46.8,3.5,83.5,345.3,220.7,486.1,10.4,7.6,19.1,9.6,194.7,244.1,248.5,79.4,339.7,8.5,67.3,59.5,21,67.8,114,1.4,2.2,22.5,2.6,5.7,1.7,2.2,3.6,,,,,,,,,,,
07-03-2020,97.3,99.1,193.9,59.9,218.8,34.6,30.5,49.2,3.5,72.2,344,221.5,486.1,10.4,7.6,19.1,5.4,185.7,237.6,247.7,79.5,332.2,8.2,64.8,59.5,20.9,68.6,109.7,1.5,2.3,22.2,2.7,5.9,1.6,2.2,3.6,,,,,,,,,,,
08-03-2020,93.8,93.2,201.1,58.2,232.1,33.8,27.5,47.4,3.1,81.2,335.6,221,471.5,9.2,7.4,19,5.4,182.4,226.7,237.4,73.9,309.7,7.4,71.1,60.8,22.5,71.4,104.9,1.3,2.3,21,2.7,5.7,1.7,2.2,3.4,,,,,,,,,,,
02-04-2018,119.3,113.8,183,79,305.4,33.1,23.3,39.4,3.1,75.9,333,180.9,478.8,10.5,6.5,16.5,6.5,163.6,181.1,215,64.3,328.6,7.6,78.5,63.3,20.2,62,117.2,1.5,2.1,22.5,2.3,4.9,1.7,2,3.8,,,,,,,,,,,
03-04-2018,123.9,116.2,184.1,83,310.6,35.4,25.1,38.5,3.9,84.8,339.4,183.6,488.2,11.8,7,17.4,7.3,173.6,198.2,214.6,74.2,335.8,7.9,82.5,64.2,22.9,73.5,145.8,1.2,2.1,23.8,2.2,4.8,1.4,2,3.7,,,,,,,,,,,
04-04-2018,128.6,119.8,187.1,87.8,314.8,35.3,26.2,41.8,4,86.1,339.1,182.6,490.8,11.7,7.3,17.7,6.9,172.1,200.6,224.3,77.9,337.2,7.9,84.4,66.3,22.9,74,158.6,1.3,2.1,24.7,2.4,5.1,1.3,2,4.3,,,,,,,,,,,
05-04-2018,124.8,119.5,188.9,89.9,310.9,35.5,25.8,42.6,4,87,344.2,183.6,495,11.7,7.2,18,6.8,172.8,196.6,228.8,80.7,332.8,7.4,69.8,67,23.6,70.8,160.2,1.3,2.1,23.8,2.3,4.6,1.2,2,4.1,,,,,,,,,,,
06-04-2018,122.5,104.8,179.1,85.9,296.2,35.8,25.6,41.9,4.1,85.7,346.4,186,488.1,11.7,7.4,17.6,6.2,177.4,180.1,230.8,80.1,340.1,7.9,77.6,64.5,24.3,74.8,160.9,1.6,2,25.1,2.2,4.6,1.3,1.8,3.5,,,,,,,,,,,
07-04-2018,121.3,104.4,178.3,75.4,266.2,35.3,25.2,41.5,3.9,83.9,349.3,176.7,478.7,11.7,7.4,17.5,5.9,176.5,164,216.7,77.8,339.6,7.6,73.1,62.9,21.4,68.6,155.5,1.4,2.2,26.5,2.3,4.7,1.3,2,3.6,,,,,,,,,,,
08-04-2018,114.3,101.5,181,77.8,278.3,31,49.9,39.2,3.4,82.4,333,174.1,449.5,11.7,7,17.7,6.2,169,143.1,199.6,71.9,322.7,7.3,79.1,65.1,17.9,67.2,127.9,1.4,2.1,23,2.1,5.2,1.3,1.9,3.6,,,,,,,,,,,
02-05-2022,206.6,195.8,274.6,125.4,457.4,45.2,32.6,51.3,6,113.4,443.8,265.9,604.4,14.7,7,19.6,18.6,208.3,218.1,234.4,83.1,349.3,9.3,104.6,69.3,27.7,115.1,142.8,1.3,2.2,25.2,2.3,5.4,1.8,2.1,5.1,,,,,,,,,,,
03-05-2022,211.7,195,270.7,123.5,471.3,46.7,32.4,44,5.7,111.5,435.2,266.4,607.7,14.8,7.7,20,18.2,202.7,206.9,241.1,84.1,364.3,9.8,95.8,75.4,29.1,108.1,137.3,1.8,2.2,25.4,2.1,5.8,1.7,2.2,4,,,,,,,,,,,
04-05-2022,190.5,175.6,279.3,118.5,432.7,40,31.7,47.7,5,110.1,436.2,265.8,607.6,15.4,7.8,20.1,19.7,200.7,176.3,234.2,84.4,359.6,9.8,109.2,74.6,29.6,109.3,151.5,1.8,2.2,27,2.2,5.5,1.8,2.1,4,,,,,,,,,,,
05-05-2022,186.5,167.4,271.2,103.8,372.2,41.2,34.1,51.5,4.8,111.6,439.8,268,607,15.5,7.9,20.4,18.4,200.4,187.6,218.9,83.3,351.9,10,101.3,74.3,29.5,110.6,158.1,1.6,2.2,30.9,2.2,5.6,1.8,2.3,4.7,,,,,,,,,,,
06-05-2022,196.3,180.6,268.9,113.3,436.6,45.9,35.1,50.8,5.2,110.7,440.4,267.7,605.1,15.3,8,20.3,19.6,195.1,190.8,219.3,85,370.4,10.3,107.8,75.9,30.5,103.3,160.4,1.7,2.2,33.4,2.4,5.5,1.8,2.3,5.1,,,,,,,,,,,
07-05-2022,200.3,187.4,279.7,110.7,452.8,45.7,35.3,50.4,5.2,110.7,437.4,262.1,607.1,14.9,7.9,20.4,19,194.2,197,219.2,84.6,352.3,8.9,115.2,77.1,31.8,114.4,172.8,1.6,2.3,35,2.5,5.5,1.9,2.2,5.7,,,,,,,,,,,
08-05-2022,197.2,173.9,279,110,446,42,31.8,54.4,5,110.2,420.5,263.2,593.3,13.5,7.5,19.8,18.8,190,193.7,199.6,77.9,327.9,9,116.5,77.5,32.4,126.4,167.4,1.2,2.3,34.2,2.4,4.9,1.8,2.2,5.5,,,,,,,,,,,
02-07-2018,233.8,186,188.2,119.9,351.6,38.8,24.3,39.3,6.2,78.2,328,167.9,429.3,8.5,7,17.3,11,162.9,163.4,183,66.4,295.2,7.3,74.9,68.3,22.7,83.1,159.2,1.1,2.2,28.9,2.3,5.4,1.5,2.2,4.4,,,,,,,,,,,
03-07-2018,193.3,188,206.8,117.3,352.4,39.1,23.9,38.4,5.3,82.2,304.4,168.7,416.2,9.1,7.2,17.5,10.7,156.3,164.1,188.4,68,285.4,7.7,76.2,68.4,21.5,76,155.5,1.3,2.3,29.7,2.4,5.1,1.5,2.1,4,,,,,,,,,,,
04-07-2018,156.7,170.3,209.6,120.3,359.1,39.4,24.1,41.8,5,85.8,291.5,161.3,411.1,9.1,7.2,17.4,11.4,163.4,167.5,189.3,69.4,310.8,7.9,81.7,65.5,20.7,78.7,159.6,1.3,2.4,28.5,2.2,5.4,1.6,2.1,4.2,,,,,,,,,,,
05-07-2018,183.5,182.3,217.4,122,387.8,43.2,26,42.2,5.1,85.2,308.5,159.4,411.5,10.6,7.4,17.8,10.3,166.4,163,193.2,69.3,316.2,7.9,87,66.4,22.4,77.8,157.8,1.2,2.3,30.5,2.2,5.4,1.5,2.2,5.1,,,,,,,,,,,
