,Category,NR,WR,SR,ER,NER,Total,Date
0,Demand Met during Evening Peak hrs(MW),41700,42607,37748,16460,2238,140753,01.01.18
1,Peak Shortage (MW),1003,10,0,0,43,1056,01.01.18
2,Energy Met (MU),864,1016,882,314,40,3116,01.01.18
3,Hydro Gen(MU),108,20,42,25,10,204,01.01.18
4,Wind Gen(MU),6,37,17,----------,----------,60,01.01.18
5,Solar Gen (MU),0.63,15.01,43.49,0.92,0.03,60,01.01.18
6,Energy Shortage (MU),12.8,0,0,0,0.3,13.1,01.01.18
7,Schedule(MU),157.8,-196.6,118.7,-79.4,-1.2,-0.7,01.01.18
8,Actual(MU),154.9,-193.8,119.2,-76.2,-2.8,1.3,01.01.18
9,O/D/U/D(MU),-2.9,2.7,0.5,3.3,-1.6,2,01.01.18
10,Central,3831,15131,5312,1220,71,25565,01.01.18
11,State,6720,17820,6570,5880,50,37040,01.01.18
12,Thermal (Coal & Lignite),556,1112,588,386,10,2652,01.01.18
13,Hydro,108,18,42,25,10,202,01.01.18
14,Nuclear,29,24,69,0,0,122,01.01.18
15,"Gas, Naptha & Diesel",19,47,18,0,26,110,01.01.18
0,Demand Met during Evening Peak hrs(MW),45890,46715,41005,18304,2396,154310,01.01.19
1,Peak Shortage (MW),727,0,0,0,51,778,01.01.19
2,Energy Met (MU),955,1083,901,351,43,3332,01.01.19
3,Hydro Gen (MU),117,28,71,30,8,254,01.01.19
4,Wind Gen (MU),9,38,46,----------,----------,93,01.01.19
5,Solar Gen (MU),23.32,21.79,69.14,0.83,0.05,115,01.01.19
6,Energy Shortage (MU),14.7,0,0,0,0.2,14.9,01.01.19
7,Schedule(MU),151.5,-177.1,101.5,-78.6,3.2,0.5,01.01.19
8,Actual(MU),143.9,-181.5,99,-68.9,3.9,-3.7,01.01.19
9,O/D/U/D(MU),-7.6,-4.5,-2.5,9.7,0.7,-4.2,01.01.19
10,Central,4793,16861,7262,1720,306,30941,01.01.19
11,State,9585,13809,9060,5205,50,37709,01.01.19
12,Coal,578,1108,478,418,5,2587,01.01.19
13,Lignite,22,19,51,0,0,92,01.01.19
14,Hydro,117,28,71,30,8,254,01.01.19
15,Nuclear,24,19,36,0,0,80,01.01.19
0,Demand Met during Evening Peak hrs(MW),53378,51158,39539,18555,2539,165169,01.01.21
1,Peak Shortage (MW),870,0,0,149,48,1067,01.01.21
2,Energy Met (MU),1039,1235,928,381,44,3627,01.01.21
3,Hydro Gen (MU),105,53,94,36,12,300,01.01.21
4,Wind Gen (MU),31,113,61,-,-,205,01.01.21
5,Solar Gen (MU),30.11,27.6,63.83,4.42,0.14,126,01.01.21
6,Energy Shortage (MU),12.42,0.1,0,0.45,0.59,13.56,01.01.21
7,Schedule(MU),279.4,-315,127.5,-94.8,2,-0.9,01.01.21
8,Actual(MU),273.6,-323.6,129.2,-88.7,1.5,-8,01.01.21
9,O/D/U/D(MU),-5.8,-8.6,1.8,6.1,-0.6,-7.1,01.01.21
10,Central,4910,11133,8662,2810,539,28053,01.01.21
11,State,11278,16636,12207,5282,11,45413,01.01.21
12,Coal,518,1318,472,465,7,2780,01.01.21
13,Lignite,27,11,28,0,0,66,01.01.21
14,Hydro,105,53,94,36,12,300,01.01.21
15,Nuclear,24,21,40,0,0,85,01.01.21
0,Demand Met during Evening Peak hrs(MW),51844,51890,37107,19013,2420,162274,01.01.22
1,Peak Shortage (MW),250,0,0,308,0,558,01.01.22
2,Energy Met (MU),1055,1199,905,386,44,3589,01.01.22
3,Hydro Gen (MU),104,31,77,25,10,247,01.01.22
4,Wind Gen (MU),12,71,68,-,-,150,01.01.22
5,Solar Gen (MU),60.98,30.77,75.94,4.28,0.25,172,01.01.22
6,Energy Shortage (MU),4.65,1.95,0,5.85,0,12.45,01.01.22
7,Schedule(MU),247.9,-170.8,57.7,-139.7,4.9,0,01.01.22
8,Actual(MU),245,-168.7,58,-137.1,2.3,-0.5,01.01.22
9,O/D/U/D(MU),-2.9,2.2,0.3,2.5,-2.6,-0.5,01.01.22
10,Central,8386,13218,5602,1300,664,29169,01.01.22
11,State,9455,17536,9916,4268,112,41286,01.01.22
12,Coal,566,1196,494,537,10,2804,01.01.22
13,Lignite,24,15,40,0,0,79,01.01.22
14,Hydro,104,31,77,25,10,247,01.01.22
15,Nuclear,32,33,70,0,0,135,01.01.22
0,Demand Met during Evening Peak hrs(MW),50315,52960,37965,18653,2426,162319,01.01.23
1,Peak Shortage (MW),0,0,0,0,0,0,01.01.23
2,Energy Met (MU),1119,1340,973,394,45,3872,01.01.23
3,Hydro Gen (MU),107,26,73,25,10,242,01.01.23
4,Wind Gen (MU),2,53,23,-,-,79,01.01.23
5,Solar Gen (MU),103.44,52.41,118.2,4.78,0.67,280,01.01.23
6,Energy Shortage (MU),3.92,0,0,1.36,0,5.28,01.01.23
7,Schedule(MU),138.3,-88,131.4,-178.7,-3.1,0,01.01.23
8,Actual(MU),136.8,-84.2,136,-192.3,-2.6,-6.4,01.01.23
9,O/D/U/D(MU),-1.6,3.8,4.6,-13.7,0.5,-6.4,01.01.23
10,Central,5553,12541,7458,2110,459,28121,01.01.23
11,State,5165,15033,6403,1448,98,28146,01.01.23
12,Coal,777,1328,546,631,13,3296,01.01.23
13,Lignite,24,13,35,0,0,72,01.01.23
14,Hydro,108,27,73,26,10,244,01.01.23
15,Nuclear,22,37,75,0,0,134,01.01.23
0,Demand Met during Evening Peak hrs(MW),42375,43780,39580,17534,2415,171047,01.02.18
1,Peak Shortage (MW),523,11,0,0,57,194,01.02.18
2,Energy Met (MU),909,1047,926,353,42,3779,01.02.18
3,Hydro Gen(MU),93,23,62,24,8,260,01.02.18
4,Wind Gen(MU),14,20,40,----------,----------,103,01.02.18
5,Solar Gen (MU),5.59,18.09,50.91,0.75,0.02,187,01.02.18
6,Energy Shortage (MU),12.7,0.2,0.7,0,0.6,13.35,01.02.18
7,Schedule(MU),174,-182.5,96.3,-91.7,2.9,0,01.02.18
8,Actual(MU),165,-187.8,100.8,-86,3.6,-4.4,01.02.18
9,O/D/U/D(MU),-9,-5.3,4.5,5.6,0.7,-4.4,01.02.18
10,Central,5227,13366,5302,1220,190,30367,01.02.18
11,State,9905,17840,5670,4435,50,36542,01.02.18
12,Thermal (Coal & Lignite),571,1142,564,441,10,2996,01.02.18
13,Hydro,93,23,62,24,8,66,01.02.18
14,Nuclear,29,24,69,0,0,259,01.02.18
15,"Gas, Naptha & Diesel",26,44,17,0,24,77,01.02.18
0,Demand Met during Evening Peak hrs(MW),46082,46832,41277,18580,2462,175427,01.02.19
1,Peak Shortage (MW),523,0,0,0,27,1672,01.02.19
2,Energy Met (MU),939,1093,910,369,43,3877,01.02.19
3,Hydro Gen (MU),119,26,70,18,7,292,01.02.19
4,Wind Gen (MU),17,23,56,----------,----------,55,01.02.19
5,Solar Gen (MU),17.51,17.88,75.52,0.93,0.06,226,01.02.19
6,Energy Shortage (MU),13.7,0,0,0,0.2,12.75,01.02.19
7,Schedule(MU),180,-199.5,91.3,-74.4,3.3,0,01.02.19
8,Actual(MU),173.6,-204,90.5,-67.1,3,-2.4,01.02.19
9,O/D/U/D(MU),-6.4,-4.5,-0.8,7.3,-0.3,-2.4,01.02.19
10,Central,3160,14436,5432,1915,232,29302,01.02.19
11,State,10810,16249,8810,3145,50,39391,01.02.19
12,Coal,534,1163,488,441,8,3058,01.02.19
13,Lignite,18,15,44,0,0,78,01.02.19
14,Hydro,119,26,70,18,7,292,01.02.19
15,Nuclear,24,30,33,0,0,119,01.02.19
0,Demand Met during Evening Peak hrs(MW),52706,53645,43005,19116,2575,175908,01.02.21
1,Peak Shortage (MW),0,0,0,148,46,1025,01.02.21
2,Energy Met (MU),1061,1256,1029,390,43,4034,01.02.21
3,Hydro Gen (MU),95,45,76,35,9,270,01.02.21
4,Wind Gen (MU),6,31,65,-,-,227,01.02.21
5,Solar Gen (MU),41.7,35.7,105.09,4.5,0.16,285,01.02.21
6,Energy Shortage (MU),12.77,0,0,0.44,0.14,5.46,01.02.21
7,Schedule(MU),238.6,-236.8,121.9,-124.1,0.4,0,01.02.21
8,Actual(MU),238.7,-230.9,105.2,-118.8,1.4,-4.2,01.02.21
9,O/D/U/D(MU),0,5.9,-16.6,5.3,1,-4.2,01.02.21
10,Central,5624,14408,6242,3525,569,32790,01.02.21
11,State,9115,14045,9157,4215,11,32018,01.02.21
12,Coal,612,1328,562,486,7,3238,01.02.21
13,Lignite,22,7,37,0,0,115,01.02.21
14,Hydro,95,45,76,34,9,270,01.02.21
15,Nuclear,18,16,43,0,0,131,01.02.21
0,Demand Met during Evening Peak hrs(MW),52594,56312,43020,20942,2559,170412,01.02.22
1,Peak Shortage (MW),1473,0,0,199,0,691,01.02.22
2,Energy Met (MU),1058,1309,1051,412,47,3898,01.02.22
3,Hydro Gen (MU),98,41,119,25,9,299,01.02.22
4,Wind Gen (MU),9,27,19,-,-,79,01.02.22
5,Solar Gen (MU),74.24,44.7,102.22,5.06,0.17,203,01.02.22
6,Energy Shortage (MU),9.09,0,0,3.66,0,11.02,01.02.22
7,Schedule(MU),134.5,-105.4,100.9,-134.9,4.9,0,01.02.22
8,Actual(MU),109.7,-97.8,121.2,-139.2,3.6,-4.4,01.02.22
9,O/D/U/D(MU),-24.8,7.6,20.4,-4.3,-1.3,-4.4,01.02.22
10,Central,5403,14098,6772,2356,674,32470,01.02.22
11,State,6705,17867,9388,5420,11,35752,01.02.22
12,Coal,699,1282,506,561,10,3046,01.02.22
13,Lignite,27,10,41,0,0,78,01.02.22
14,Hydro,98,41,120,25,9,299,01.02.22
15,Nuclear,28,21,69,0,0,90,01.02.22
0,Demand Met during Evening Peak hrs(MW),51150,57462,44091,20556,2649,172010,01.02.23
1,Peak Shortage (MW),540,0,0,461,24,463,01.02.23
2,Energy Met (MU),1077,1385,1089,435,48,4008,01.02.23
3,Hydro Gen (MU),116,34,82,31,7,289,01.02.23
4,Wind Gen (MU),24,155,48,-,-,99,01.02.23
5,Solar Gen (MU),122.8,57.86,99.07,5.06,0.41,263,01.02.23
6,Energy Shortage (MU),2.26,0,0,3.15,0.05,6.58,01.02.23
7,Schedule(MU),115.2,-133.2,158.3,-139.1,-1.2,0,01.02.23
8,Actual(MU),98.7,-138.1,179.3,-143.7,-0.5,19.7,01.02.23
9,O/D/U/D(MU),-16.5,-4.9,21.1,-4.6,0.7,19.7,01.02.23
10,Central,7317,14520,6988,3295,670,28633,01.02.23
11,State,7690,15516,6253,2462,98,38822,01.02.23
12,Coal,700,1308,600,616,15,3121,01.02.23
13,Lignite,33,21,61,0,0,73,01.02.23
14,Hydro,116,34,82,31,7,289,01.02.23
15,Nuclear,26,37,67,0,0,136,01.02.23
0,Demand Met during Evening Peak hrs(MW),42449,45860,43517,19128,2373,184449,01.03.18
1,Peak Shortage (MW),521,34,0,0,54,943,01.03.18
2,Energy Met (MU),922,1106,1012,380,40,4325,01.03.18
3,Hydro Gen(MU),107,31,73,30,6,295,01.03.18
4,Wind Gen(MU),2,28,47,----------,----------,169,01.03.18
5,Solar Gen (MU),5.7,16.87,52.43,0.89,0.02,311,01.03.18
6,Energy Shortage (MU),20.8,0,2.2,0,0.5,10.8,01.03.18
7,Schedule(MU),164.8,-153,95.8,-110,4.3,0,01.03.18
8,Actual(MU),157.7,-156.3,89.4,-95.6,4.2,-5.7,01.03.18
9,O/D/U/D(MU),-7.1,-3.3,-6.4,14.4,-0.1,-5.7,01.03.18
10,Central,4997,15921,5502,795,265,31981,01.03.18
11,State,11970,18035,3930,4775,50,27252,01.03.18
12,Thermal (Coal & Lignite),594,1137,650,471,10,3550,01.03.18
13,Hydro,107,31,73,30,6,109,01.03.18
14,Nuclear,28,24,46,0,0,295,01.03.18
15,"Gas, Naptha & Diesel",22,53,19,0,23,127,01.03.18
0,Demand Met during Evening Peak hrs(MW),43815,46997,45421,15670,2286,114364,01.03.19
1,Peak Shortage (MW),1033,3,0,0,119,491,01.03.19
2,Energy Met (MU),897,1114,1080,335,38,2705,01.03.19
3,Hydro Gen (MU),145,22,79,28,3,322,01.03.19
4,Wind Gen (MU),8,43,37,----------,----------,118,01.03.19
5,Solar Gen (MU),29.2,27.17,76.98,0.93,0.02,166,01.03.19
6,Energy Shortage (MU),11.5,0,0,0,0.1,10.2,01.03.19
7,Schedule(MU),186.8,-254.7,160,-96.4,4.6,0,01.03.19
8,Actual(MU),185.3,-271,164.9,-88.1,4.3,-6.1,01.03.19
9,O/D/U/D(MU),-1.5,-16.4,4.9,8.3,-0.4,-6.1,01.03.19
10,Central,4281,11576,5402,2940,571,40082,01.03.19
11,State,11840,16077,8430,3365,50,70768,01.03.19
12,Coal,459,1199,584,436,7,1769,01.03.19
13,Lignite,17,17,47,0,0,85,01.03.19
14,Hydro,145,22,79,28,3,322,01.03.19
15,Nuclear,27,31,36,0,0,119,01.03.19
0,Demand Met during Evening Peak hrs(MW),47753,54514,45552,20094,2499,187119,01.03.21
1,Peak Shortage (MW),645,0,0,0,46,810,01.03.21
2,Energy Met (MU),1022,1303,1113,417,44,4440,01.03.21
3,Hydro Gen (MU),109,47,93,38,12,391,01.03.21
4,Wind Gen (MU),4,51,25,-,-,119,01.03.21
5,Solar Gen (MU),49.61,39.36,109.21,4.65,0.19,263,01.03.21
6,Energy Shortage (MU),10.39,0,0,0,0.63,9.85,01.03.21
7,Schedule(MU),195.3,-219.7,166.7,-141.4,-0.9,0,01.03.21
8,Actual(MU),185.9,-225.6,175.6,-139.1,-1.3,1,01.03.21
9,O/D/U/D(MU),-9.3,-5.9,8.9,2.2,-0.4,1,01.03.21
10,Central,6400,16388,6582,2157,944,24321,01.03.21
11,State,10582,13030,8232,3897,11,28827,01.03.21
12,Coal,588,1329,585,536,9,3452,01.03.21
13,Lignite,25,11,42,0,0,79,01.03.21
14,Hydro,109,47,93,38,12,391,01.03.21
15,Nuclear,23,21,46,0,0,112,01.03.21
0,Demand Met during Evening Peak hrs(MW),49445,55286,45126,19588,2565,167828,01.03.22
1,Peak Shortage (MW),250,0,0,213,0,23,01.03.22
2,Energy Met (MU),1031,1353,1164,415,45,3935,01.03.22
3,Hydro Gen (MU),123,37,97,24,8,232,01.03.22
4,Wind Gen (MU),6,45,49,-,-,145,01.03.22
5,Solar Gen (MU),85.56,47.48,124.54,5.17,0.45,333,01.03.22
6,Energy Shortage (MU),4.74,0,0,1.84,0,3.25,01.03.22
7,Schedule(MU),107.6,-133.3,179.1,-155.6,2.1,0,01.03.22
8,Actual(MU),117.4,-125,191.3,-163.9,-0.2,-4.1,01.03.22
9,O/D/U/D(MU),9.8,8.3,12.2,-8.3,-2.3,-4.1,01.03.22
10,Central,6510,13205,6662,1981,275,23671,01.03.22
11,State,10174,16219,8498,3920,11,31766,01.03.22
12,Coal,639,1310,567,592,13,3216,01.03.22
13,Lignite,25,13,35,0,0,118,01.03.22
14,Hydro,123,37,97,24,8,232,01.03.22
15,Nuclear,33,33,70,0,0,139,01.03.22
0,Demand Met during Evening Peak hrs(MW),50449,62147,47515,21672,2666,129200,01.03.23
1,Peak Shortage (MW),598,0,0,335,10,595,01.03.23
2,Energy Met (MU),1095,1466,1252,465,47,2955,01.03.23
3,Hydro Gen (MU),129,63,69,26,9,406,01.03.23
4,Wind Gen (MU),27,45,97,-,-,101,01.03.23
5,Solar Gen (MU),120.68,61.96,124.56,3.31,0.89,152,01.03.23
6,Energy Shortage (MU),2.51,3.27,0,5.01,0.01,11.4,01.03.23
7,Schedule(MU),131.1,-143,169,-153.6,-3.5,-0.1,01.03.23
8,Actual(MU),116.9,-124.2,155.3,-149.7,-3.9,-4.6,01.03.23
9,O/D/U/D(MU),-14.2,18.7,-13.7,3.8,-0.4,-4.5,01.03.23
10,Central,8344,14949,4698,3110,880,39774,01.03.23
11,State,10100,9983,3478,3530,162,65458,01.03.23
12,Coal,696,1470,711,657,17,1989,01.03.23
13,Lignite,29,17,63,0,0,76,01.03.23
14,Hydro,129,63,69,26,9,406,01.03.23
15,Nuclear,20,37,70,0,0,108,01.03.23
0,Demand Met during Evening Peak hrs(MW),39729,45295,43733,17912,2260,156162,01.04.18
1,Peak Shortage (MW),834,0,0,89,103,217,01.04.18
2,Energy Met (MU),850,1130,1030,375,35,3779,01.04.18
3,Hydro Gen(MU),88,21,56,24,7,308,01.04.18
4,Wind Gen(MU),12,74,48,----------,----------,104,01.04.18
5,Solar Gen (MU),7.04,21.46,50.87,0.82,0.01,178,01.04.18
6,Energy Shortage (MU),9.5,0,0,0.3,1.6,6.52,01.04.18
7,Schedule(MU),150.6,-204.7,122.4,-73.6,4.6,0,01.04.18
8,Actual(MU),157.8,-217.6,121.8,-66.7,2.7,-5.9,01.04.18
9,O/D/U/D(MU),7.2,-12.9,-0.6,6.9,-1.9,-5.9,01.04.18
10,Central,5070,11666,5902,1580,270,28658,01.04.18
11,State,8520,17513,3590,3715,50,38403,01.04.18
12,Thermal (Coal & Lignite),518,1154,655,439,7,2951,01.04.18
13,Hydro,88,21,58,24,7,80,01.04.18
14,Nuclear,32,26,47,0,0,308,01.04.18
15,"Gas, Naptha & Diesel",26,53,22,0,21,112,01.04.18
0,Demand Met during Evening Peak hrs(MW),39242,45950,43187,19230,1752,177783,01.04.19
1,Peak Shortage (MW),563,0,0,0,676,207,01.04.19
2,Energy Met (MU),916,1161,1063,420,31,4377,01.04.19
3,Hydro Gen (MU),180,29,65,47,3,350,01.04.19
4,Wind Gen (MU),10,79,39,----------,----------,314,01.04.19
5,Solar Gen (MU),28.14,25.1,83.87,1.01,0.03,274,01.04.19
6,Energy Shortage (MU),10.5,0,0,0,9.6,38.74,01.04.19
7,Schedule(MU),130.4,-238.5,157.8,-52.1,1.9,0,01.04.19
8,Actual(MU),123,-243.1,166.5,-49.3,0.2,-2,01.04.19
9,O/D/U/D(MU),-7.5,-4.6,8.7,2.8,-1.7,-2,01.04.19
10,Central,5595,13866,6072,950,616,24469,01.04.19
11,State,9510,12190,5380,3195,50,24508,01.04.19
12,Coal,494,1184,579,458,7,3210,01.04.19
13,Lignite,19,15,55,0,0,89,01.04.19
14,Hydro,180,29,65,47,3,350,01.04.19
15,Nuclear,23,31,33,0,0,104,01.04.19
0,Demand Met during Evening Peak hrs(MW),28344,31372,35444,16986,2218,156090,01.04.20
1,Peak Shortage (MW),463,0,0,0,28,53,01.04.20
2,Energy Met (MU),623,802,910,334,36,3605,01.04.20
3,Hydro Gen (MU),154,31,83,49,4,319,01.04.20
4,Wind Gen (MU),26,55,36,-,-,86,01.04.20
5,Solar Gen (MU),35.36,28.12,97.67,4.74,0.04,289,01.04.20
6,Energy Shortage (MU),9.5,0,0,0,0.8,2.03,01.04.20
7,Schedule(MU),78.6,-177.7,156.5,-64.2,6.8,0,01.04.20
8,Actual(MU),54.6,-183.4,179.1,-63.7,7.3,-4.3,01.04.20
9,O/D/U/D(MU),-24,-5.7,22.6,0.6,0.5,-4.3,01.04.20
10,Central,6529,24127,6172,2475,779,25651,01.04.20
11,State,21403,26746,14888,7720,11,33684,01.04.20
12,Coal,278,742,375,368,7,2937,01.04.20
13,Lignite,18,14,53,0,0,89,01.04.20
14,Hydro,154,31,83,49,4,319,01.04.20
15,Nuclear,24,37,59,0,0,130,01.04.20
0,Demand Met during Evening Peak hrs(MW),47153,55110,48510,22865,2495,139330,01.04.21
1,Peak Shortage (MW),400,0,0,0,82,571,01.04.21
2,Energy Met (MU),907,1333,1239,478,41,3247,01.04.21
3,Hydro Gen (MU),109,55,76,51,9,526,01.04.21
4,Wind Gen (MU),9,57,84,----------,----------,114,01.04.21
5,Solar Gen (MU),53.97,41.91,119.39,5.19,0.17,136,01.04.21
6,Energy Shortage (MU),7.69,0,0,0,2.74,11.7,01.04.21
7,Schedule(MU),144.6,-289.6,216.8,-72.5,0.6,0,01.04.21
8,Actual(MU),118.3,-284.5,219.1,-63.1,4.5,-1.6,01.04.21
9,O/D/U/D(MU),-26.3,5.1,2.3,9.3,3.9,-1.6,01.04.21
10,Central,5199,13623,5092,3018,1222,35134,01.04.21
11,State,13702,11824,6706,3643,11,53085,01.04.21
12,Coal,528,1395,633,522,13,2155,01.04.21
13,Lignite,23,11,42,0,0,69,01.04.21
14,Hydro,109,55,76,51,9,526,01.04.21
15,Nuclear,27,21,41,0,0,110,01.04.21
0,Demand Met during Evening Peak hrs(MW),53636,59709,47201,24107,2466,150856,01.04.22
1,Peak Shortage (MW),510,0,35,265,0,225,01.04.22
2,Energy Met (MU),1176,1444,1252,520,48,3535,01.04.22
3,Hydro Gen (MU),172,51,90,57,20,507,01.04.22
4,Wind Gen (MU),11,66,42,-,-,307,01.04.22
5,Solar Gen (MU),101.79,49.04,106.69,4.97,0.35,195,01.04.22
6,Energy Shortage (MU),4.65,0.25,0.74,4.21,0,3.84,01.04.22
7,Schedule(MU),92.8,-197.7,227.8,-114.3,-8.7,189399,01.04.22
8,Actual(MU),71.1,-185.4,229.7,-109.2,-5.2,1446,01.04.22
9,O/D/U/D(MU),-21.7,12.3,1.9,5.1,3.5,4544,01.04.22
10,Central,3810,11602,6068,2281,560,452,01.04.22
11,State,8739,12918,5222,1938,11,351,01.04.22
12,Coal,735,1439,663,603,12,279,01.04.22
13,Lignite,18,12,49,0,0,24.95,01.04.22
14,Hydro,172,51,90,57,20,0,01.04.22
15,Nuclear,32,33,47,0,0,-5.1,01.04.22
0,Demand Met during Evening Peak hrs(MW),42504,55102,47759,20026,2437,-5.1,01.04.23
1,Peak Shortage (MW),0,0,0,0,23,23939,01.04.23
2,Energy Met (MU),892,1326,1261,411,45,30686,01.04.23
3,Hydro Gen (MU),116,20,61,27,7,3258,01.04.23
4,Wind Gen (MU),15,90,40,-,-,111,01.04.23
5,Solar Gen (MU),135.9,65.6,127.37,3.55,0.25,452,01.04.23
6,Energy Shortage (MU),1.73,0,0,0.42,1.1,114,01.04.23
7,Schedule(MU),77.5,-159.9,255.6,-170.6,-2.5,195121,01.04.23
8,Actual(MU),48.8,-144.4,277.4,-187.7,1.9,685,01.04.23
9,O/D/U/D(MU),-28.7,15.5,21.8,-17.1,4.4,4458,01.04.23
10,Central,5607,13631,3028,980,425,434,01.04.23
11,State,12960,12318,3691,2500,297,313,01.04.23
12,Coal,553,1339,659,654,11,294,01.04.23
13,Lignite,27,21,70,0,0,9.05,01.04.23
14,Hydro,116,20,61,27,7,0,01.04.23
15,Nuclear,31,34,74,0,0,-0.9,01.04.23
0,Demand Met during Evening Peak hrs(MW),44799,45931,42465,17163,2278,-0.8,01.05.18
1,Peak Shortage (MW),628,22,10,0,166,22400,01.05.18
2,Energy Met (MU),1008,1143,985,352,35,27604,01.05.18
3,Hydro Gen(MU),182,21,52,40,7,3522,01.05.18
4,Wind Gen(MU),34,121,72,----------,----------,72,01.05.18
5,Solar Gen (MU),16.6,21.35,58.34,0.67,0.01,434,01.05.18
6,Energy Shortage (MU),11.1,0,0,0,1.4,111,01.05.18
7,Schedule(MU),156.5,-190.4,97.9,-66.7,2.6,162117,01.05.18
8,Actual(MU),168.9,-182.4,91.9,-81,-0.7,944,01.05.18
9,O/D/U/D(MU),12.4,8,-6,-14.4,-3.3,3836,01.05.18
10,Central,5727,13018,5912,1350,156,665,01.05.18
11,State,6860,16010,4440,4495,50,217,01.05.18
12,Thermal (Coal & Lignite),536,1096,633,413,8,139,01.05.18
13,Hydro,182,21,54,40,7,13.1,01.05.18
14,Nuclear,20,31,24,0,0,178649,01.05.18
15,"Gas, Naptha & Diesel",40,53,22,0,23,730,01.05.18
0,Demand Met during Evening Peak hrs(MW),52619,51122,42302,21112,2405,4321,01.05.19
1,Peak Shortage (MW),518,0,0,0,190,669,01.05.19
2,Energy Met (MU),1160,1267,1007,475,40,366,01.05.19
3,Hydro Gen (MU),265,33,55,80,10,168,01.05.19
4,Wind Gen (MU),23,116,124,----------,----------,12.04,01.05.19
5,Solar Gen (MU),26.81,27.35,74.31,2.03,0.03,0,01.05.19
6,Energy Shortage (MU),10.4,0,0,0,4.5,-6.1,01.05.19
7,Schedule(MU),195.6,-255.7,121.3,-59.3,-1.8,-6.1,01.05.19
8,Actual(MU),188.3,-261.1,125.5,-51.9,-4,32661,01.05.19
9,O/D/U/D(MU),-7.3,-5.4,4.2,7.4,-2.3,36124,01.05.19
10,Central,4872,11129,6852,1600,195,2859,01.05.19
11,State,7340,12894,6270,2985,50,91,01.05.19
12,Coal,567,1271,507,466,12,669,01.05.19
13,Lignite,15,12,46,0,0,108,01.05.19
14,Hydro,265,33,55,80,10,181708,01.05.19
15,Nuclear,28,31,37,0,0,46,01.05.19
0,Demand Met during Evening Peak hrs(MW),39986,38518,32071,16425,2200,4147,01.05.20
1,Peak Shortage (MW),536,0,0,0,59,559,01.05.20
2,Energy Met (MU),839,982,783,314,36,414,01.05.20
3,Hydro Gen (MU),233,34,64,68,7,205,01.05.20
4,Wind Gen (MU),23,49,29,-,-,4.33,01.05.20
5,Solar Gen (MU),35.05,27.7,84.33,4.73,0.03,0,01.05.20
6,Energy Shortage (MU),9.8,0,0,0,1.6,4.9,01.05.20
7,Schedule(MU),144.7,-177.1,143.3,-110.8,-0.3,4.9,01.05.20
8,Actual(MU),133.5,-179.3,145.5,-103.2,-1.2,26122,01.05.20
9,O/D/U/D(MU),-11.2,-2.1,2.1,7.6,-0.9,35257,01.05.20
10,Central,7235,19328,9732,2830,649,2802,01.05.20
11,State,19208,23939,14918,7382,11,105,01.05.20
12,Coal,327,936,346,374,7,561,01.05.20
13,Lignite,22,15,38,0,0,130,01.05.20
14,Hydro,233,34,64,68,7,193030,01.05.20
15,Nuclear,27,36,44,0,0,123,01.05.20
0,Demand Met during Evening Peak hrs(MW),48005,46297,38474,21290,2096,4400,01.05.21
1,Peak Shortage (MW),213,0,0,0,4,632,01.05.21
2,Energy Met (MU),1104,1205,981,443,45,378,01.05.21
3,Hydro Gen (MU),159,41,59,40,10,288,01.05.21
4,Wind Gen (MU),21,51,32,-,-,3.12,01.05.21
5,Solar Gen (MU),43.98,31.02,97.67,5.08,0.19,0,01.05.21
6,Energy Shortage (MU),6.42,0,0,0,0.1,-0.8,01.05.21
7,Schedule(MU),261.3,-311.2,138.7,-96.8,7.9,-0.8,01.05.21
8,Actual(MU),256.6,-317.6,148.2,-100.3,7.4,28187,01.05.21
9,O/D/U/D(MU),-4.7,-6.5,9.5,-3.6,-0.6,32893,01.05.21
10,Central,5577,14089,7202,843,947,3122,01.05.21
11,State,12615,14037,7905,3835,11,97,01.05.21
12,Coal,541,1336,515,548,12,632,01.05.21
13,Lignite,22,10,48,0,0,123,01.05.21
14,Hydro,159,41,59,40,10,165583,01.05.21
15,Nuclear,25,28,59,0,0,554,01.05.21
0,Demand Met during Evening Peak hrs(MW),58588,56792,40261,19589,2553,3785,01.05.22
1,Peak Shortage (MW),0,0,0,207,0,628,01.05.22
2,Energy Met (MU),1378,1443,1066,447,44,150,01.05.22
3,Hydro Gen (MU),201,26,58,54,10,128,01.05.22
4,Wind Gen (MU),37,161,116,-,-,10.5,01.05.22
5,Solar Gen (MU),103.62,52.95,112.66,4.39,0.66,0,01.05.22
6,Energy Shortage (MU),23.99,11.09,0,3.2,0.46,-8.4,01.05.22
7,Schedule(MU),222,-164.1,61.5,-118.3,-1.1,-8.4,01.05.22
8,Actual(MU),226.9,-149.4,52.2,-128.6,-3.1,33159,01.05.22
9,O/D/U/D(MU),4.9,14.7,-9.4,-10.3,-2,48323,01.05.22
10,Central,3439,12097,5838,2370,725,2613,01.05.22
11,State,6799,11636,4367,1660,47,47,01.05.22
12,Coal,721,1317,601,560,12,628,01.05.22
13,Lignite,25,15,49,0,0,79,01.05.22
14,Hydro,201,26,58,54,10,157624,01.05.22
15,Nuclear,25,33,46,0,0,1113,01.05.22
0,Demand Met during Evening Peak hrs(MW),42496,50421,39946,20660,2567,3622,01.05.23
