,Category,NR,WR,SR,ER,NER,Total,Date,TOTAL
1,Peak Shortage (MW),0,0,0,350,13,,18.09.23,363
2,Energy Met (MU),1329,1264,1122,588,64,,18.09.23,4366
3,Hydro Gen (MU),328,92,51,97,29,,18.09.23,598
4,Wind Gen (MU),32,150,138,-,-,,18.09.23,319
5,Solar Gen (MU),72.71,35.16,116.78,2.60,0.72,,18.09.23,228
6,Energy Shortage (MU),0.00,0.00,0.00,2.10,0.11,,18.09.23,2.21
7,Schedule(MU),265.9,-310.9,136.8,-90.5,-1.2,,18.09.23,0.0
8,Actual(MU),245.8,-327.3,152.6,-83.4,1.9,,18.09.23,-10.4
9,O/D/U/D(MU),-20.1,-16.4,15.9,7.1,3.1,,18.09.23,-10.4
10,Central,4389,8080,5508,1370,355,,18.09.23,19701
11,State,9340,14432,6322,4470,157,,18.09.23,34721
12,Coal,638,1331,593,635,12,,18.09.23,3209
13,Lignite,31,11,34,0,0,,18.09.23,76
14,Hydro,328,92,51,97,29,,18.09.23,598
15,Nuclear,30,54,76,0,0,,18.09.23,159
0,Demand Met during Evening Peak hrs(MW),53762,65252,49146,23998,3065,,18.10.23,195223
1,Peak Shortage (MW),0,108,0,1213,21,,18.10.23,1342
2,Energy Met (MU),1119,1532,1223,529,58,,18.10.23,4461
3,Hydro Gen (MU),169,61,72,60,24,,18.10.23,386
4,Wind Gen (MU),12,42,23,-,-,,18.10.23,77
5,Solar Gen (MU),131.76,59.46,121.44,2.68,1.01,,18.10.23,316
6,Energy Shortage (MU),0.76,0.52,0.00,3.92,0.13,,18.10.23,5.33
7,Schedule(MU),78.8,-179.3,188.8,-82.6,-5.7,,18.10.23,0.0
8,Actual(MU),57.3,-180.5,197.0,-77.1,-4.9,,18.10.23,-8.2
9,O/D/U/D(MU),-21.5,-1.2,8.2,5.5,0.8,,18.10.23,-8.2
10,Central,4195,7864,3968,4811,205,,18.10.23,21043
11,State,6391,9699,4921,2990,230,,18.10.23,24231
12,Coal,752,1592,737,610,16,,18.10.23,3706
13,Lignite,21,17,47,0,0,,18.10.23,84
14,Hydro,169,61,72,60,24,,18.10.23,386
15,Nuclear,25,53,71,0,0,,18.10.23,149
0,Demand Met during Evening Peak hrs(MW),60436,62902,52343,27674,2552,,19.04.23,205907
1,Peak Shortage (MW),641,0,0,676,101,,19.04.23,1418
2,Energy Met (MU),1242,1537,1329,630,54,,19.04.23,4792
3,Hydro Gen (MU),188,46,78,48,9,,19.04.23,369
4,Wind Gen (MU),15,117,33,-,-,,19.04.23,165
5,Solar Gen (MU),122.53,65.53,125.23,2.65,0.98,,19.04.23,317
6,Energy Shortage (MU),12.57,0.38,0.00,4.19,1.80,,19.04.23,18.94
7,Schedule(MU),89.7,-261.5,213.0,-45.0,3.9,,19.04.23,0.0
8,Actual(MU),74.0,-254.5,228.5,-55.4,4.8,,19.04.23,-2.7
9,O/D/U/D(MU),-15.7,7.0,15.5,-10.4,0.9,,19.04.23,-2.7
10,Central,2505,11072,2748,640,425,,19.04.23,17391
11,State,5430,8202,2828,2240,252,,19.04.23,18951
12,Coal,821,1583,770,715,17,,19.04.23,3906
13,Lignite,25,15,67,0,0,,19.04.23,107
14,Hydro,188,46,78,48,9,,19.04.23,369
15,Nuclear,30,35,69,0,0,,19.04.23,134
0,Demand Met during Evening Peak hrs(MW),64117,61433,50219,22255,2808,,19.05.23,200832
1,Peak Shortage (MW),232,0,0,403,17,,19.05.23,652
2,Energy Met (MU),1429,1491,1239,544,51,,19.05.23,4753
3,Hydro Gen (MU),217,51,80,53,14,,19.05.23,414
4,Wind Gen (MU),13,102,74,-,-,,19.05.23,189
5,Solar Gen (MU),139.18,65.61,122.30,2.70,0.88,,19.05.23,331
6,Energy Shortage (MU),8.55,0.49,0.00,2.43,1.43,,19.05.23,12.90
7,Schedule(MU),228.6,-284.4,161.2,-101.8,-3.5,,19.05.23,0.0
8,Actual(MU),209.7,-294.1,181.3,-98.7,-2.4,,19.05.23,-4.1
9,O/D/U/D(MU),-18.9,-9.6,20.2,3.1,1.2,,19.05.23,-4.1
10,Central,2294,6387,5078,1140,455,,19.05.23,15354
11,State,6070,11240,2838,1910,287,,19.05.23,22344
12,Coal,849,1598,727,674,16,,19.05.23,3865
13,Lignite,21,19,53,0,0,,19.05.23,94
14,Hydro,217,51,80,53,14,,19.05.23,414
15,Nuclear,25,44,46,0,0,,19.05.23,115
0,Demand Met during Evening Peak hrs(MW),66642,60411,48527,24959,2653,,19.06.23,203192
1,Peak Shortage (MW),150,0,0,0,31,,19.06.23,181
2,Energy Met (MU),1511,1428,1166,572,45,,19.06.23,4722
3,Hydro Gen (MU),361,27,49,105,27,,19.06.23,570
4,Wind Gen (MU),45,135,124,-,-,,19.06.23,304
5,Solar Gen (MU),134.71,50.67,108.08,5.20,0.35,,19.06.23,299
6,Energy Shortage (MU),0.63,0.17,0.00,1.32,1.02,,19.06.23,3.14
7,Schedule(MU),219.1,-207.8,131.4,-125.1,-17.6,,19.06.23,0.0
8,Actual(MU),183.7,-212.2,165.6,-125.2,-16.7,,19.06.23,-4.8
9,O/D/U/D(MU),-35.3,-4.5,34.3,-0.1,0.9,,19.06.23,-4.7
10,Central,1888,10943,5638,1150,455,,19.06.23,20074
11,State,6195,10729,4033,1050,220,,19.06.23,22226
12,Coal,769,1445,667,665,14,,19.06.23,3560
13,Lignite,28,17,60,0,0,,19.06.23,105
14,Hydro,361,27,49,105,27,,19.06.23,570
15,Nuclear,29,32,51,0,0,,19.06.23,112
0,Demand Met during Evening Peak hrs(MW),71085,55171,44905,26669,3454,,19.07.23,201284
1,Peak Shortage (MW),1242,0,0,692,42,,19.07.23,1976
2,Energy Met (MU),1579,1277,1042,603,68,,19.07.23,4570
3,Hydro Gen (MU),377,50,60,135,34,,19.07.23,655
4,Wind Gen (MU),15,154,296,-,-,,19.07.23,465
5,Solar Gen (MU),106.27,35.67,73.64,2.44,1.36,,19.07.23,219
6,Energy Shortage (MU),5.39,0.00,0.00,5.11,0.59,,19.07.23,11.09
7,Schedule(MU),326.7,-256.0,-2.0,-64.6,-4.2,,19.07.23,0.0
8,Actual(MU),315.8,-253.0,-2.8,-63.3,-1.0,,19.07.23,-4.3
9,O/D/U/D(MU),-10.9,3.0,-0.9,1.3,3.2,,19.07.23,-4.3
10,Central,3057,11709,7968,4030,271,,19.07.23,27035
11,State,6630,13976,7563,3830,212,,19.07.23,32210
12,Coal,760,1320,553,594,13,,19.07.23,3241
13,Lignite,28,12,57,0,0,,19.07.23,97
14,Hydro,377,50,60,135,34,,19.07.23,655
15,Nuclear,29,49,46,0,0,,19.07.23,125
0,Demand Met during Evening Peak hrs(MW),73356,57923,46818,25282,3222,,19.08.23,206601
1,Peak Shortage (MW),3431,43,0,660,268,,19.08.23,4402
2,Energy Met (MU),1750,1415,1150,579,66,,19.08.23,4961
3,Hydro Gen (MU),416,101,69,140,32,,19.08.23,758
4,Wind Gen (MU),13,171,227,-,-,,19.08.23,412
5,Solar Gen (MU),123.45,38.89,88.92,2.38,0.70,,19.08.23,254
6,Energy Shortage (MU),20.95,0.50,0.00,3.32,3.84,,19.08.23,28.61
7,Schedule(MU),373.6,-344.7,90.5,-112.9,-6.5,,19.08.23,0.0
8,Actual(MU),358.0,-338.1,87.6,-108.7,-3.5,,19.08.23,-4.7
9,O/D/U/D(MU),-15.6,6.6,-2.9,4.2,3.0,,19.08.23,-4.7
10,Central,2939,9710,6758,3660,255,,19.08.23,23322
11,State,7070,13812,7138,3490,157,,19.08.23,31666
12,Coal,827,1456,606,605,16,,19.08.23,3510
13,Lignite,27,9,41,0,0,,19.08.23,77
14,Hydro,416,101,69,140,32,,19.08.23,758
15,Nuclear,29,50,71,0,0,,19.08.23,150
0,Demand Met during Evening Peak hrs(MW),64898,54712,46640,25113,2988,,19.09.23,194351
1,Peak Shortage (MW),230,0,0,1014,11,,19.09.23,1255
2,Energy Met (MU),1393,1259,1166,573,62,,19.09.23,4453
3,Hydro Gen (MU),327,95,66,96,29,,19.09.23,614
4,Wind Gen (MU),19,121,141,-,-,,19.09.23,281
5,Solar Gen (MU),90.07,37.40,117.60,2.54,0.78,,19.09.23,248
6,Energy Shortage (MU),1.24,0.00,0.00,7.18,0.48,,19.09.23,8.90
7,Schedule(MU),288.4,-326.5,148.6,-108.5,-2.1,,19.09.23,0.0
8,Actual(MU),279.8,-346.0,167.3,-106.4,0.3,,19.09.23,-5.0
9,O/D/U/D(MU),-8.6,-19.5,18.7,2.0,2.4,,19.09.23,-5.0
10,Central,4599,8080,5468,1160,355,,19.09.23,19661
11,State,7930,15702,6402,3870,255,,19.09.23,34158
12,Coal,682,1354,618,645,13,,19.09.23,3313
13,Lignite,31,12,33,0,0,,19.09.23,76
14,Hydro,327,95,66,96,29,,19.09.23,614
15,Nuclear,29,54,76,0,0,,19.09.23,158
0,Demand Met during Evening Peak hrs(MW),52662,65453,49545,23994,3047,,19.10.23,194701
1,Peak Shortage (MW),201,0,0,264,30,,19.10.23,495
2,Energy Met (MU),1130,1552,1240,523,58,,19.10.23,4503
3,Hydro Gen (MU),161,56,72,60,24,,19.10.23,373
4,Wind Gen (MU),4,36,21,-,-,,19.10.23,61
5,Solar Gen (MU),127.41,59.43,116.71,2.88,1.13,,19.10.23,308
6,Energy Shortage (MU),2.35,0.00,0.00,1.41,0.21,,19.10.23,3.97
7,Schedule(MU),108.0,-197.9,189.2,-93.6,-5.8,,19.10.23,0.0
8,Actual(MU),87.1,-165.9,193.0,-117.5,-6.9,,19.10.23,-10.2
9,O/D/U/D(MU),-20.9,32.0,3.8,-23.9,-1.2,,19.10.23,-10.2
10,Central,4164,8464,3968,4811,205,,19.10.23,21611
11,State,8866,9222,3391,2180,129,,19.10.23,23787
12,Coal,753,1615,761,641,18,,19.10.23,3787
13,Lignite,19,19,47,0,0,,19.10.23,85
14,Hydro,161,56,72,60,24,,19.10.23,373
15,Nuclear,25,54,71,0,0,,19.10.23,149
0,Demand Met during Evening Peak hrs(MW),56963,59470,51919,26647,2696,,20.04.23,197695
1,Peak Shortage (MW),0,0,0,0,55,,20.04.23,55
2,Energy Met (MU),1263,1505,1328,608,49,,20.04.23,4753
3,Hydro Gen (MU),219,39,76,54,14,,20.04.23,401
4,Wind Gen (MU),21,117,61,-,-,,20.04.23,199
5,Solar Gen (MU),132.92,63.88,121.84,2.66,1.08,,20.04.23,322
6,Energy Shortage (MU),1.68,0.00,0.00,2.91,1.42,,20.04.23,6.01
7,Schedule(MU),88.7,-246.7,212.1,-50.0,-4.1,,20.04.23,0.0
8,Actual(MU),58.9,-232.2,227.8,-55.1,-5.8,,20.04.23,-6.4
9,O/D/U/D(MU),-29.8,14.6,15.7,-5.2,-1.8,,20.04.23,-6.4
10,Central,3227,10571,3498,1900,460,,20.04.23,19656
11,State,5345,7761,2138,1500,250,,20.04.23,16994
12,Coal,817,1579,771,688,16,,20.04.23,3872
13,Lignite,25,17,61,0,0,,20.04.23,102
14,Hydro,219,39,76,54,14,,20.04.23,401
15,Nuclear,30,34,51,0,0,,20.04.23,116
0,Demand Met during Evening Peak hrs(MW),65328,62216,48310,25628,2678,,20.05.23,204160
1,Peak Shortage (MW),100,0,0,305,43,,20.05.23,448
2,Energy Met (MU),1467,1495,1214,561,50,,20.05.23,4788
3,Hydro Gen (MU),228,47,69,71,17,,20.05.23,431
4,Wind Gen (MU),45,123,81,-,-,,20.05.23,249
5,Solar Gen (MU),140.92,64.58,115.59,2.20,1.10,,20.05.23,324
6,Energy Shortage (MU),1.16,1.00,0.00,1.78,1.32,,20.05.23,5.26
7,Schedule(MU),238.8,-260.0,130.3,-105.1,-4.1,,20.05.23,0.0
8,Actual(MU),211.8,-264.0,157.9,-106.7,-2.9,,20.05.23,-3.8
9,O/D/U/D(MU),-27.0,-4.0,27.6,-1.7,1.2,,20.05.23,-3.8
10,Central,2513,5677,5288,270,425,,20.05.23,14173
11,State,5805,10865,2298,2520,277,,20.05.23,21764
12,Coal,834,1555,736,673,15,,20.05.23,3813
13,Lignite,22,18,48,0,0,,20.05.23,89
14,Hydro,228,47,69,71,17,,20.05.23,431
15,Nuclear,25,44,46,0,0,,20.05.23,115
0,Demand Met during Evening Peak hrs(MW),68263,60684,47012,25113,2659,,20.06.23,203731
1,Peak Shortage (MW),80,0,0,0,9,,20.06.23,89
2,Energy Met (MU),1546,1459,1157,579,49,,20.06.23,4790
3,Hydro Gen (MU),377,33,46,115,29,,20.06.23,600
4,Wind Gen (MU),63,130,118,-,-,,20.06.23,311
5,Solar Gen (MU),133.98,57.23,105.04,3.15,0.57,,20.06.23,300
6,Energy Shortage (MU),1.64,2.00,0.00,0.52,1.20,,20.06.23,5.36
7,Schedule(MU),224.8,-185.8,134.8,-158.8,-15.0,,20.06.23,0.0
8,Actual(MU),193.8,-184.3,168.6,-165.9,-14.4,,20.06.23,-2.2
9,O/D/U/D(MU),-31.0,1.5,33.8,-7.1,0.7,,20.06.23,-2.2
10,Central,1011,9765,6138,1150,455,,20.06.23,18519
11,State,6105,10644,3978,1050,220,,20.06.23,21996
12,Coal,757,1448,657,687,14,,20.06.23,3563
13,Lignite,28,17,60,0,0,,20.06.23,106
14,Hydro,377,33,46,115,29,,20.06.23,600
15,Nuclear,29,32,51,0,0,,20.06.23,112
0,Demand Met during Evening Peak hrs(MW),73774,54831,44320,26378,3367,,20.07.23,202670
1,Peak Shortage (MW),1533,0,0,732,32,,20.07.23,2297
2,Energy Met (MU),1659,1282,1024,609,69,,20.07.23,4643
3,Hydro Gen (MU),380,46,79,137,32,,20.07.23,674
4,Wind Gen (MU),4,144,295,-,-,,20.07.23,443
5,Solar Gen (MU),117.65,40.67,80.83,5.01,1.08,,20.07.23,245
6,Energy Shortage (MU),7.48,0.00,0.00,3.99,0.58,,20.07.23,12.05
7,Schedule(MU),358.1,-272.2,-24.3,-59.6,-2.0,,20.07.23,0.0
8,Actual(MU),350.7,-267.8,-31.4,-55.1,-0.4,,20.07.23,-4.0
9,O/D/U/D(MU),-7.4,4.4,-7.1,4.5,1.7,,20.07.23,-4.0
10,Central,3187,10184,7818,3680,271,,20.07.23,25140
11,State,6395,14606,7443,3580,212,,20.07.23,32235
12,Coal,800,1365,547,591,16,,20.07.23,3319
13,Lignite,28,11,54,0,0,,20.07.23,93
14,Hydro,380,46,79,137,32,,20.07.23,674
15,Nuclear,29,52,46,0,0,,20.07.23,127
0,Demand Met during Evening Peak hrs(MW),73577,55903,43797,25346,3206,,20.08.23,201829
1,Peak Shortage (MW),1292,0,0,377,35,,20.08.23,1704
2,Energy Met (MU),1715,1363,1103,579,65,,20.08.23,4825
3,Hydro Gen (MU),415,106,66,139,33,,20.08.23,759
4,Wind Gen (MU),9,138,178,-,-,,20.08.23,325
5,Solar Gen (MU),104.05,30.41,119.13,2.33,0.96,,20.08.23,257
6,Energy Shortage (MU),17.37,0.49,0.02,2.16,1.73,,20.08.23,21.77
7,Schedule(MU),384.7,-326.1,76.5,-107.8,-6.4,,20.08.23,20.9
8,Actual(MU),366.8,-337.5,86.2,-113.3,-6.2,,20.08.23,-4.0
9,O/D/U/D(MU),-17.9,-11.4,9.7,-5.5,0.2,,20.08.23,-24.9
10,Central,3668,12056,8418,4070,255,,20.08.23,28466
11,State,6130,12149,7558,3280,157,,20.08.23,29273
12,Coal,824,1495,598,616,17,,20.08.23,3550
13,Lignite,26,8,41,0,0,,20.08.23,76
14,Hydro,415,106,66,139,33,,20.08.23,759
15,Nuclear,29,50,53,0,0,,20.08.23,132
0,Demand Met during Evening Peak hrs(MW),68228,56726,47900,24520,2880,,20.09.23,200254
1,Peak Shortage (MW),563,0,0,305,276,,20.09.23,1144
2,Energy Met (MU),1461,1317,1219,556,58,,20.09.23,4611
3,Hydro Gen (MU),312,101,76,97,25,,20.09.23,611
4,Wind Gen (MU),10,114,117,-,-,,20.09.23,241
5,Solar Gen (MU),113.83,47.32,113.68,1.65,0.68,,20.09.23,277
6,Energy Shortage (MU),5.18,0.00,0.00,3.36,1.14,,20.09.23,9.68
7,Schedule(MU),281.5,-327.6,183.3,-134.1,-3.1,,20.09.23,0.0
8,Actual(MU),276.0,-350.0,205.5,-138.3,-0.3,,20.09.23,-7.1
9,O/D/U/D(MU),-5.5,-22.4,22.3,-4.2,2.8,,20.09.23,-7.1
10,Central,3258,8142,4968,660,505,,20.09.23,17532
11,State,6100,15770,5742,3810,219,,20.09.23,31641
12,Coal,746,1424,636,661,15,,20.09.23,3482
13,Lignite,31,9,34,0,0,,20.09.23,74
14,Hydro,312,101,76,97,25,,20.09.23,611
15,Nuclear,29,53,76,0,0,,20.09.23,159
0,Demand Met during Evening Peak hrs(MW),57209,60787,49031,24659,2313,,21.04.23,193999
1,Peak Shortage (MW),0,0,0,0,57,,21.04.23,57
2,Energy Met (MU),1229,1462,1274,570,43,,21.04.23,4578
3,Hydro Gen (MU),218,32,65,47,13,,21.04.23,374
4,Wind Gen (MU),11,102,62,-,-,,21.04.23,175
5,Solar Gen (MU),146.71,67.03,117.48,4.78,0.83,,21.04.23,337
6,Energy Shortage (MU),0.00,0.00,0.00,0.54,1.10,,21.04.23,1.64
7,Schedule(MU),104.0,-254.9,200.1,-43.6,-5.6,,21.04.23,0.0
8,Actual(MU),75.2,-238.6,217.9,-54.0,-7.3,,21.04.23,-6.7
9,O/D/U/D(MU),-28.8,16.3,17.8,-10.4,-1.7,,21.04.23,-6.7
10,Central,3047,10611,3498,2290,425,,21.04.23,19871
11,State,6005,7767,1958,2100,286,,21.04.23,18116
12,Coal,764,1553,751,658,15,,21.04.23,3740
13,Lignite,25,18,60,0,0,,21.04.23,102
14,Hydro,218,32,65,47,13,,21.04.23,374
15,Nuclear,30,35,45,0,0,,21.04.23,110
0,Demand Met during Evening Peak hrs(MW),65236,58595,42813,24923,2444,,21.05.23,194011
1,Peak Shortage (MW),88,0,0,141,16,,21.05.23,245
2,Energy Met (MU),1463,1433,1098,562,46,,21.05.23,4602
3,Hydro Gen (MU),238,35,63,55,13,,21.05.23,405
4,Wind Gen (MU),65,132,70,-,-,,21.05.23,267
5,Solar Gen (MU),140.11,64.74,115.98,2.34,1.01,,21.05.23,324
6,Energy Shortage (MU),0.41,0.57,0.00,2.72,0.97,,21.05.23,4.67
7,Schedule(MU),235.0,-247.9,93.9,-77.5,-3.6,,21.05.23,0.0
8,Actual(MU),208.9,-256.0,121.6,-78.7,-3.1,,21.05.23,-7.3
9,O/D/U/D(MU),-26.2,-8.0,27.7,-1.2,0.4,,21.05.23,-7.3
10,Central,3029,6671,5288,270,400,,21.05.23,15658
11,State,5405,12694,2908,3290,277,,21.05.23,24573
12,Coal,817,1506,699,658,15,,21.05.23,3694
13,Lignite,21,17,47,0,0,,21.05.23,85
14,Hydro,238,35,63,55,13,,21.05.23,405
15,Nuclear,28,36,46,0,0,,21.05.23,109
0,Demand Met during Evening Peak hrs(MW),72481,61116,45252,24561,2805,,21.06.23,206215
1,Peak Shortage (MW),0,79,0,0,17,,21.06.23,96
2,Energy Met (MU),1615,1462,1127,582,49,,21.06.23,4835
3,Hydro Gen (MU),385,32,48,115,29,,21.06.23,609
4,Wind Gen (MU),58,112,122,-,-,,21.06.23,291
5,Solar Gen (MU),136.24,56.42,99.16,2.27,0.60,,21.06.23,295
6,Energy Shortage (MU),0.55,0.42,0.00,0.41,1.13,,21.06.23,2.51
7,Schedule(MU),266.5,-195.9,113.0,-167.8,-15.7,,21.06.23,0.0
8,Actual(MU),229.6,-199.8,138.2,-157.8,-14.5,,21.06.23,-4.4
9,O/D/U/D(MU),-36.9,-3.9,25.2,10.1,1.2,,21.06.23,-4.4
10,Central,1231,8830,5238,1810,455,,21.06.23,17564
11,State,5425,9883,3978,1050,220,,21.06.23,20556
12,Coal,781,1481,661,681,14,,21.06.23,3618
13,Lignite,30,17,58,0,0,,21.06.23,106
14,Hydro,385,32,48,115,29,,21.06.23,609
15,Nuclear,29,35,51,0,0,,21.06.23,115
0,Demand Met during Evening Peak hrs(MW),73272,54258,45012,26271,3337,,21.07.23,202150
1,Peak Shortage (MW),2271,0,0,149,56,,21.07.23,2476
2,Energy Met (MU),1731,1278,1028,601,63,,21.07.23,4702
3,Hydro Gen (MU),380,46,80,140,31,,21.07.23,676
4,Wind Gen (MU),9,126,298,-,-,,21.07.23,433
5,Solar Gen (MU),115.44,39.91,76.06,5.02,0.93,,21.07.23,237
6,Energy Shortage (MU),9.31,0.00,0.00,2.60,0.51,,21.07.23,12.42
7,Schedule(MU),396.7,-281.3,-23.1,-85.3,-7.1,,21.07.23,0.0
8,Actual(MU),401.1,-289.8,-17.8,-92.2,-8.1,,21.07.23,-6.8
9,O/D/U/D(MU),4.4,-8.5,5.3,-6.9,-1.0,,21.07.23,-6.8
10,Central,2946,10549,7818,3180,306,,21.07.23,24799
11,State,7230,13561,8453,3160,175,,21.07.23,32578
12,Coal,818,1394,526,619,17,,21.07.23,3373
13,Lignite,29,11,55,0,0,,21.07.23,94
14,Hydro,380,46,80,140,31,,21.07.23,676
15,Nuclear,29,52,46,0,0,,21.07.23,127
0,Demand Met during Evening Peak hrs(MW),72602,58599,46350,25300,3130,,21.08.23,205981
1,Peak Shortage (MW),5656,0,1926,1334,193,,21.08.23,9109
2,Energy Met (MU),1720,1409,1185,589,64,,21.08.23,4966
3,Hydro Gen (MU),418,112,116,139,34,,21.08.23,819
4,Wind Gen (MU),8,124,105,-,-,,21.08.23,237
5,Solar Gen (MU),129.66,39.03,127.99,5.18,0.63,,21.08.23,302
6,Energy Shortage (MU),58.75,0.41,15.45,11.65,2.91,,21.08.23,89.17
7,Schedule(MU),315.8,-342.8,147.7,-110.4,-10.2,,21.08.23,0.1
8,Actual(MU),292.8,-354.7,172.3,-105.4,-8.6,,21.08.23,-3.6
9,O/D/U/D(MU),-23.0,-11.9,24.6,5.1,1.6,,21.08.23,-3.7
10,Central,1793,11864,7568,3570,255,,21.08.23,25049
11,State,5130,10757,7218,3340,155,,21.08.23,26599
12,Coal,870,1495,620,618,17,,21.08.23,3620
13,Lignite,27,8,44,0,0,,21.08.23,79
14,Hydro,418,112,116,139,34,,21.08.23,819
15,Nuclear,29,50,46,0,0,,21.08.23,125
0,Demand Met during Evening Peak hrs(MW),70499,55380,47163,23348,2865,,21.09.23,199255
1,Peak Shortage (MW),230,0,0,196,201,,21.09.23,627
2,Energy Met (MU),1545,1316,1194,524,58,,21.09.23,4636
3,Hydro Gen (MU),302,98,77,117,29,,21.09.23,623
4,Wind Gen (MU),11,81,92,-,-,,21.09.23,184
5,Solar Gen (MU),128.29,49.02,92.75,1.40,0.70,,21.09.23,272
6,Energy Shortage (MU),2.64,0.00,0.00,1.35,0.50,,21.09.23,4.49
7,Schedule(MU),318.2,-302.7,177.6,-187.5,-5.6,,21.09.23,0.0
8,Actual(MU),305.3,-314.8,203.0,-190.2,-5.8,,21.09.23,-2.4
9,O/D/U/D(MU),-13.0,-12.1,25.4,-2.7,-0.2,,21.09.23,-2.4
10,Central,2968,7810,4168,200,505,,21.09.23,15650
11,State,5866,13941,4872,2600,228,,21.09.23,27506
12,Coal,796,1404,660,666,15,,21.09.23,3541
13,Lignite,30,12,39,0,0,,21.09.23,81
14,Hydro,302,98,77,117,29,,21.09.23,623
15,Nuclear,29,54,76,0,0,,21.09.23,159
0,Demand Met during Evening Peak hrs(MW),53010,63842,47719,22200,2958,,21.10.23,189729
1,Peak Shortage (MW),0,0,0,0,7,,21.10.23,7
2,Energy Met (MU),1151,1536,1218,480,56,,21.10.23,4441
3,Hydro Gen (MU),164,47,58,46,22,,21.10.23,338
4,Wind Gen (MU),12,34,28,-,-,,21.10.23,74
5,Solar Gen (MU),120.51,63.93,117.08,2.91,1.28,,21.10.23,306
6,Energy Shortage (MU),0.26,0.00,0.00,0.07,0.05,,21.10.23,0.38
7,Schedule(MU),166.7,-203.3,169.0,-130.9,-1.5,,21.10.23,0.0
8,Actual(MU),156.1,-166.5,182.9,-176.9,-1.4,,21.10.23,-5.8
9,O/D/U/D(MU),-10.6,36.8,13.9,-46.0,0.1,,21.10.23,-5.8
10,Central,4654,7142,3508,4126,205,,21.10.23,19634
11,State,8621,9968,3959,1580,121,,21.10.23,24248
12,Coal,698,1596,752,667,15,,21.10.23,3728
13,Lignite,23,19,53,0,0,,21.10.23,95
14,Hydro,164,47,58,46,22,,21.10.23,338
15,Nuclear,25,54,71,0,0,,21.10.23,149
0,Demand Met during Evening Peak hrs(MW),55675,56605,47476,22119,2561,,22.04.23,184436
1,Peak Shortage (MW),0,0,0,827,57,,22.04.23,884
2,Energy Met (MU),1202,1433,1206,512,43,,22.04.23,4396
3,Hydro Gen (MU),193,25,52,42,13,,22.04.23,326
4,Wind Gen (MU),16,108,41,-,-,,22.04.23,165
5,Solar Gen (MU),143.89,64.73,109.85,2.53,1.14,,22.04.23,322
6,Energy Shortage (MU),0.02,0.00,0.00,2.67,1.32,,22.04.23,4.01
7,Schedule(MU),109.1,-226.6,192.8,-66.9,-8.4,,22.04.23,0.0
8,Actual(MU),87.9,-207.8,210.5,-88.3,-7.3,,22.04.23,-4.9
9,O/D/U/D(MU),-21.1,18.8,17.8,-21.4,1.1,,22.04.23,-4.9
10,Central,3047,10741,3498,1900,425,,22.04.23,19611
11,State,6415,14755,2558,2490,245,,22.04.23,26462
12,Coal,750,1509,722,641,13,,22.04.23,3636
13,Lignite,24,15,60,0,0,,22.04.23,99
14,Hydro,193,25,52,42,13,,22.04.23,326
15,Nuclear,30,35,45,0,0,,22.04.23,110
0,Demand Met during Evening Peak hrs(MW),68209,61184,46719,25582,2864,,22.05.23,204558
1,Peak Shortage (MW),135,0,0,570,61,,22.05.23,766
2,Energy Met (MU),1544,1472,1109,560,49,,22.05.23,4735
3,Hydro Gen (MU),261,36,65,48,14,,22.05.23,423
4,Wind Gen (MU),59,135,45,-,-,,22.05.23,238
5,Solar Gen (MU),143.52,68.03,120.50,2.44,0.95,,22.05.23,335
6,Energy Shortage (MU),5.79,0.00,0.00,8.72,1.36,,22.05.23,15.87
7,Schedule(MU),247.9,-273.3,117.3,-88.3,-3.5,,22.05.23,0.0
8,Actual(MU),226.5,-279.2,137.0,-76.4,-0.8,,22.05.23,7.1
9,O/D/U/D(MU),-21.4,-5.9,19.8,11.9,2.7,,22.05.23,7.1
10,Central,2076,5427,6288,270,425,,22.05.23,14486
11,State,5255,12190,3068,2990,277,,22.05.23,23779
12,Coal,848,1547,709,660,14,,22.05.23,3778
13,Lignite,20,17,48,0,0,,22.05.23,84
14,Hydro,261,36,65,48,14,,22.05.23,423
15,Nuclear,29,38,46,0,0,,22.05.23,113
0,Demand Met during Evening Peak hrs(MW),75577,60318,46910,25526,2919,,22.06.23,211250
1,Peak Shortage (MW),178,0,0,113,44,,22.06.23,335
2,Energy Met (MU),1668,1466,1105,577,51,,22.06.23,4866
3,Hydro Gen (MU),386,33,48,115,30,,22.06.23,613
4,Wind Gen (MU),49,126,129,-,-,,22.06.23,304
5,Solar Gen (MU),136.43,54.12,103.39,2.66,0.65,,22.06.23,297
6,Energy Shortage (MU),1.02,1.70,0.00,2.72,1.02,,22.06.23,6.46
7,Schedule(MU),308.6,-227.5,90.5,-155.9,-15.6,,22.06.23,0.0
8,Actual(MU),271.3,-223.1,103.9,-143.7,-13.2,,22.06.23,-4.8
9,O/D/U/D(MU),-37.3,4.4,13.4,12.2,2.4,,22.06.23,-4.8
10,Central,1335,7490,5598,1810,565,,22.06.23,16798
11,State,4925,10007,3978,1510,321,,22.06.23,20740
12,Coal,797,1490,654,660,14,,22.06.23,3615
13,Lignite,32,17,61,0,0,,22.06.23,110
14,Hydro,386,33,48,115,30,,22.06.23,613
15,Nuclear,29,44,51,0,0,,22.06.23,125
