,Date,coal_generation_(mw),energy_met_(mu),energy_shortage_(mu),generation_outage_central_sector_(mw),generation_outage_state_sector_(mw),hydro_generation_(mu),hydro_generation_(mw),import/export_actual_(mu),import/export_o/d/u/d_(mu),import/export_schedule_(mu),maximum_demand_-_evening_peak_(mw),nuclear_generation_(mw),peak_shortage_(mw),solar_generation_(mu),"thermal_lignite_gas,_naptha_&_diesel_generation_(mw)",wind_generation_(mu),Total_consumption,Max. Demand Met during the day (MW),Shortage during maximum Demand (MW),Drawal Schedule (MU),OD(+)/UD(-) (MU),Max OD (MW)
0,1/1/2018,2652,3116,13.1,25565,37040,205,203,1.3,2,-0.7,140753,122,1056,60.08,110,60,3122.5,157824,1139,1352.2,8.9,7161
1,1/2/2018,2604,3122,13,24087,40405,211,209,-4.5,-4.5,-8.44E-15,144509,124,563,58.1,114,49,3274.1,158284,622,1354.2,2.3,7609
2,1/3/2018,2669,3208,13.4,23765,41810,224,222,-9.2,-9,-0.2,149976,127,1211,56.71,119,49,3426.4,160544,1069,1394.4,12.1,7732
3,1/4/2018,2739,3298,14.9,23685,41186,227,226,-16.5,-19,2.4,150541,126,1564,57.33,118,51,3343.6,162754,995,1430.6,31.5,8573
4,1/5/2018,2731,3261,20.9,25347,41372,232,230,-2.2,-1,-1.3,150287,127,2192,56.33,119,41,3428.2,163798,2917,1410.6,12.3,8647
5,1/7/2018,2335,3248,18,24365,39215,237,207,-10.2,-11.5,1.5,149847,127,1787,58.29,120,37,3466.4,163833,1330,1404.2,10.8,8013
6,1/8/2018,2252,3143,13,24085,39044,210,184,-14,-13.6,-0.5,141147,127,897,59.39,116,45,3689,156078,750,1373.9,6.1,7638
7,1/9/2018,2703,3252,15.8,24115,36010,219,217,-12.9,-13,0,148792,124,660,58.57,116,69,3615.3,164593,609,1386.7,10.7,7356
8,1/11/2018,2742,3313,13.6,24060,37409,213,211,-0.7,-0.7,-0.1,150302,117,772,54.77,116,93,3570.9,163137,731,1377.2,20.2,8412
9,1/12/2018,2749,3317,19.6,25480,36515,242,240,-5.6,-7.9,2.4,152710,117,1221,58.01,116,70,3322.4,166588,1303,1371.7,22.2,8733
10,1/13/2018,2790,3355,22.3,26649,36655,248,247,-4.2,-6.4,2.1,152846,117,684,54.84,116,57,3333.9,167488,1551,1395.7,17.2,7463
11,1/14/2018,2778,3334,14.2,26507,37675,231,229,-7.2,-0.6,-6.5,148886,120,598,56.6,116,58,3121.7,167385,598,1381.5,20,8159
12,1/15/2018,2580,3121,11.2,27535,37777,214,212,-7.6,-6.9,-0.7,134991,122,603,60.93,110,56,3166.9,158453,556,1296.6,12.9,7611
13,1/16/2018,2658,3231,14.3,24992,38727,233,231,-10.7,-8.8,-1.8,143681,119,763,58.8,110,73,3243.9,161216,606,1294.4,21.2,8060
14,1/17/2018,2673,3244,16,24552,39726,250,248,-7.3,-6.4,-1,149060,113,641,59.91,119,48,3304.2,163510,1107,1368.5,31.3,7388
15,1/18/2018,2755,3305,16.7,24595,37128,237,235,-6.1,-6.1,-0.1,150574,113,703,60.54,125,52,3315.5,165644,996,1388.2,17.4,7865
16,1/19/2018,2726,3315,15.5,24515,35573,234,232,-1,-0.2,-0.9,150821,114,614,67.33,120,68,3307.1,165585,622,1364.2,30.3,9786
17,1/20/2018,2735,3307,16.4,24739,35793,238,236,-1.5,0.5,-2,150532,113,751,73.87,115,60,3307.2,166026,972,1375.5,26.1,8719
18,1/21/2018,2745,3307,12.2,24949,35114,237,235,-7.4,-6.9,-0.3,150499,113,570,67.63,115,57,3190.6,167340,675,1358.8,28.4,7967
19,1/22/2018,2675,3190,12.4,26599,37399,207,205,-5.1,-4.8,-0.3,140498,113,571,71.9,118,51,3281.8,159591,647,1330,10.2,6567
20,1/23/2018,2723,3277,17.1,26133,38326,237,235,-6.3,-5.9,-0.5,149194,113,571,64.57,115,57,3258.2,164482,2534,1355.4,11.4,7949
21,1/24/2018,2689,3258,12.6,25335,39117,243,242,-7.3,-7.6,0.4,146279,115,601,66.01,114,62,3233.6,163444,1728,1362.4,12.5,8601
22,1/25/2018,2686,3232,17.5,25415,38632,232,231,-11.4,-11.6,0.1,148930,116,985,64.2,113,36,3250.4,163184,1494,1383.2,10,8066
23,1/26/2018,2753,3251,18.5,24915,38588,223,223,-8.7,-8.1,-0.8,149566,117,702,68.08,110,32,3104.5,163049,2410,1392,1.7,7238
24,1/27/2018,2621,3104,12.4,24915,39578,194,194,0.8,-0.1,0.9,136174,116,640,68.88,105,35,3191,155645,1149,1358.3,5.9,8638
25,1/28/2018,2666,3192,15,26259,38693,206,206,1.6,3.6,-2,148272,118,719,70.68,107,36,3151.2,162529,592,1369.2,15,8564
26,1/29/2018,2667,3151,12.2,25794,38288,192,192,-10,-9.3,-0.7,140926,122,565,72.63,102,46,3242.5,159097,835,1356.3,3.2,7530
27,1/30/2018,2719,3243,17.2,26265,38248,207,207,-5.3,-5.9,0.7,148117,125,638,63.11,100,63,3269.5,164114,1193,1367.2,8.6,8048
28,1/31/2018,2713,3270,16.2,26970,37818,211,210,-3,-6.4,3.5,147709,125,1099,75,109,72,3276.9,164395,1782,1368.3,4.7,8406
29,2/1/2018,2728,3277,14.2,25305,37900,210,210,-4.4,-3.5,-1,145684,122,591,75.36,111,74,3208.8,162369,1134,1372.4,7.7,7720
30,2/2/2018,2728,3277,14.2,25305,37900,210,210,-4.4,-3.5,-1,145684,122,591,75.36,111,74,3291.3,162369,1134,1372.4,7.7,7720
31,2/3/2018,2722,3274,27.5,23360,37045,196,195,-1.2,-1.8,0.8,148405,122,2051,78.13,123,68,3123.5,162317,4125,1402.9,9.8,7448
32,2/4/2018,2718,3286,17,22980,38269,203,202,0.7,0.1,0.6,149115,122,1025,77.72,116,74,3350.2,164245,2015,1384.5,14,7657
33,2/5/2018,2600,3171,11.6,23070,40217,185,184,6.5,1.6,4.9,139497,122,872,72.48,110,102,3477.2,158796,634,1356.2,2.8,7685
34,2/6/2018,2693,3258,15.4,23730,38819,195,194,-0.3,-4.4,4,149521,122,721,71.57,112,94,3514.7,165661,889,1383.8,14.2,8008
35,2/7/2018,2757,3308,12.7,23116,39231,204,203,0.7,-2.4,3.2,149752,117,783,64.5,113,73,3569.7,166864,589,1430.5,6.5,6160
36,2/8/2018,2792,3303,13.7,23181,40169,223,222,3.1,1.3,2,148090,117,737,47.01,110,42,3740.4,165782,1500,1454.2,8.6,7886
37,2/9/2018,2774,3289,19.6,23531,39640,215,214,2.5,0.5,2.1,149957,118,879,66.21,110,32,3415.1,163049,3200,1437.2,9.3,8506
38,2/10/2018,2800,3320,21.2,24591,39727,221,219,-1.3,-15.3,14,149513,122,1199,66.95,109,29,3720.3,165963,3017,1445.9,14.5,7194
39,2/11/2018,2763,3310,17.9,24986,38719,219,218,5.5,4.8,0.6,149469,122,1022,58.02,107,53,3556.7,162871,2486,1427.3,20.3,7093
40,2/12/2018,2575,3093,6.2,25586,39995,172,171,3.9,4.5,-0.6,134831,122,422,60.84,107,93,3198.7,157407,489,1317.4,-21,9449
41,2/13/2018,2571,3104,9,23565,40566,209,208,9.3,10,-0.7,144703,122,457,66.38,105,59,3156.9,158009,671,1333.4,-3.2,8465
42,2/14/2018,2616,3157,9.9,23778,39041,196,195,-7.4,-6.3,-1.1,142190,122,595,66.62,105,81,3177.2,159802,867,1358.7,4.7,7222
43,2/15/2018,2587,3177,10,25258,39015,188,187,1.2,2.2,-0.9,146472,122,625,70.91,104,144,3236.1,159727,875,1305.9,-2.6,7156
44,2/16/2018,2610,3235,10.6,25743,38902,202,201,1.6,-2.1,3.8,148436,122,596,70.16,106,135,3289.5,161517,558,1336.5,16,8032
45,2/17/2018,2741,3290,12.4,25338,38122,207,206,-3.7,-4.1,0.3,149103,101,608,74.09,111,60,3281.7,161862,621,1391.6,20.2,7846
46,2/18/2018,2728,3281,12.1,25888,38092,213,212,-10.2,-9.4,-0.8,148431,101,782,77.44,112,41,3189.1,163095,1034,1404.4,12.7,7288
47,2/19/2018,2653,3189,10.4,25888,39020,194,193,4,3.6,0.2,139598,121,572,79.72,109,46,3280.1,159477,452,1370.4,13.2,7774
48,2/20/2018,2695,3281,17.6,27968,39530,225,221,-2.4,-1.7,-0.7,148462,95,828,78.95,112,60,3350.7,162645,1302,1386.7,21.7,8188
49,2/21/2018,2766,3350,15.7,26213,39690,232,231,4.1,2.8,1.3,152548,87,787,78.16,112,70,3354.4,164455,2085,1397.3,24.8,8014
50,2/22/2018,2787,3354,13.7,26613,38540,227,226,-4.3,-3,-1.4,149105,87,627,75.91,113,71,3383.5,164473,1581,1408.4,18.4,8377
51,2/23/2018,2817,3383,12.2,26553,37947,235,233,-13.9,-16.6,2.7,151062,84,597,75.24,119,60,3388.8,165766,1323,1411.1,19.6,7964
52,2/24/2018,2801,3389,23.5,28568,37645,224,223,5.9,3.2,2.8,150872,83,1071,79.08,121,88,3359,164387,2028,1410,23.4,8759
53,2/25/2018,2756,3358,13.2,26338,37778,222,223,6,6,0.2,148547,78,813,79.07,87,104,3311,163982,855,1421.5,10.9,10611
54,2/26/2018,2719,3312,13.4,26093,38476,191,191,9.8,9,0.7,142423,96,649,83.52,111,130,3361.9,158748,1336,1359,-2.5,6829
55,2/27/2018,2762,3361,12.1,25893,37916,234,234,14.2,14.9,-0.6,150491,99,488,83.16,110,94,3428.5,165719,457,1398,7.5,7225
56,2/28/2018,2807,3428,12.7,28235,39248,243,242,1.7,-1.5,3.1,152263,99,633,80.53,117,104,3460.3,167481,1820,1401.6,8.7,6919
57,3/1/2018,2862,3460,23.5,27480,38760,247,247,-0.6,-2.5,1.9,153327,98,609,75.91,117,77,3298.1,167197,1704,1401.9,19.9,8592
58,3/2/2018,2840,3427,13.6,27125,39241,238,236,-1,-0.6,-0.4,148568,99,585,79.84,115,73,3286.1,165508,2254,1414.5,15.8,8173
59,3/3/2018,2584,3124,10.1,27455,42702,193,193,0.1,-3.4,3.6,132284,99,664,85.14,93,83,3193.9,151326,661,1332.2,-3.5,8060
60,3/4/2018,2617,3195,12.3,26896,41503,234,233,4.7,5.1,-0.4,143343,99,634,81.83,96,89,3494.6,157693,523,1353.2,4.4,7822
61,3/5/2018,2755,3298,13.2,27708,42813,219,219,1.7,1.3,0.4,139687,99,903,79.31,100,64,3330.1,156464,636,1390.3,11.2,7975
62,3/6/2018,2765,3363,11.3,28913,39091,259,259,3.3,-8.88E-16,3.3,150503,99,723,81.04,108,64,3500.1,163204,598,1398.3,10.3,7456
63,3/7/2018,2815,3422,15,26548,38528,251,250,-3.5,-4.6,1,151369,94,1432,83.23,117,76,3496.4,165863,1476,1402.3,10.3,8202
64,3/8/2018,2840,3444,15.2,27493,37936,248,248,3.3,2.7,0.5,153012,92,920,88.08,112,84,3785.4,166701,749,1430.8,6.6,8439
65,3/9/2018,2874,3462,27.6,30223,38787,258,258,0.9,1,-0.1,152149,76,2213,91.54,112,80,3785.4,165004,1081,1397,18.2,8961
66,3/10/2018,2873,3458,32,28586,40379,264,264,-4.8,-6.3,1.5,150069,71,1901,85.82,115,83,3804.1,165557,839,1396.3,14.2,7884
67,3/11/2018,2850,3438,33,28311,40036,249,249,1.2,6.8,-5.6,151128,73,3191,75.66,118,84,3514.6,164729,3186,1410.6,7.7,7765
68,3/12/2018,2811,3351,17.6,27831,36551,210,210,0.1,0.7,-0.6,144904,71,1122,75.28,116,89,3306.8,160789,1679,1364.3,3.2,7002
69,3/13/2018,2867,3462,13.6,29396,36308,230,230,-1.3,-1.1,-0.2,152425,76,1831,71.77,120,115,3502.5,166997,904,1366.1,4.5,7350
70,3/14/2018,2869,3503,22.9,29951,36026,236,236,-4.8,-6.4,1.6,153332,87,2333,75.39,122,117,3500.9,166791,2113,1383.8,8.7,7804
71,3/15/2018,2864,3501,28.4,30713,36321,246,245,-4.1,-4.6,0.5,153499,96,1566,69.95,125,118,3489.5,166808,1347,1371.5,10,7203
72,3/16/2018,2876,3489,20.7,28929,35681,249,249,-4.8,-4.3,-0.4,153049,98,1681,63.2,131,72,3429.1,166892,1778,1392.4,9.2,8023
73,3/17/2018,2838,3429,16.3,28929,35116,224,224,-0.6,-0.3,-0.2,148306,98,1379,65.75,127,64,3316.6,164545,1644,1409.9,2.7,9031
74,3/18/2018,2732,3317,13.6,28744,34460,223,223,-4.4,-4.8,0.3,148951,98,875,73.6,126,58,3235.3,161049,963,1356.5,2.9,7958
75,3/19/2018,2666,3235,12.7,28624,35311,193,193,36.8,-8.2,44.9,140571,99,619,80.9,146,80,3393.3,156573,699,1331.4,1.1,7705
76,3/20/2018,2768,3393,12,24101,36505,220,220,-2.2,-4.3,2,151009,98,737,75.01,127,83,3449.8,164653,636,1372.2,12.6,7711
77,3/21/2018,2816,3450,11,27283,33562,229,229,-1.5,-1.5,5.77E-15,153017,98,964,83.86,125,82,3449,166393,999,1406.9,18.8,7149
78,3/22/2018,2810,3449,10.9,27083,33962,227,227,-3.5,-4.3,0.7,150879,97,1060,79.6,123,109,3479.6,164690,1112,1410.5,11.4,6967
79,3/23/2018,2854,3479,12.1,25688,35383,228,228,1.5,0.9,0.7,153513,93,1162,83.88,125,92,3523.1,166010,1285,1422.2,11.6,7001
80,3/24/2018,2905,3523,13.2,25408,35258,233,233,1.4,7.5,-6.1,155031,93,968,84.97,140,79,3520.2,169051,1097,1448.2,15.3,5939
81,3/25/2018,2895,3519,11.7,25083,35473,243,242,-2.3,-0.2,-2.2,153487,99,1197,80.91,131,76,3391.2,167809,1110,1457.6,10.9,7748
82,3/26/2018,2781,3392,13.6,21933,31703,202,202,-0.6,-1.2,0.7,143367,94,957,84.48,121,96,3522.2,159569,841,1396,5,7749
83,3/27/2018,2899,3523,14.5,28454,33493,256,256,-10.8,-11.1,0.3,154821,85,965,84.98,118,70,3564.1,168696,1174,1406.2,18.9,7151
84,3/28/2018,2931,3563,12.3,26614,33371,272,272,-7.9,-7.7,-0.3,156957,88,2043,82.36,118,79,3597.5,170108,2659,1411.3,19.4,8631
85,3/29/2018,2983,3596,11.5,26843,32090,244,244,-3.4,-3.9,0.6,157161,96,1525,83.15,129,77,3594.6,170353,1499,1455.5,7.1,7495
86,3/30/2018,2965,3594,15.6,27183,31862,252,252,-2.5,-3,0.6,156013,99,1452,80.08,122,76,3516.9,170701,1554,1465.7,21.1,7329
87,3/31/2018,2895,3518,14.6,27198,30908,216,218,-3.2,-3.3,0.1,149499,101,921,79.37,119,100,3418.8,167299,951,1437.6,10.7,7562
88,4/1/2018,2773,3420,11.4,24488,33388,196,198,-2,-1.3,-0.7,148929,105,1026,80.2,122,134,3261.4,163033,975,1413.1,0.8,6935
89,4/2/2018,2521,3085,10.6,26488,34273,184,583,1.8,2.6,-0.6,135712,170,1024,89.27,131,91,3171.2,154054,565,1380,-17.6,20831
90,4/3/2018,2759,3400,11.7,27402,32717,228,230,1.5,1.9,-0.4,151058,107,1147,83.75,121,87,3297.3,165657,1533,1366.1,22,10109
91,4/4/2018,2851,3495,11.4,27295,33392,261,263,-7.2,-8.2,1,155487,108,957,86.77,128,71,3557,165740,955,1435.3,15.9,6881
92,4/5/2018,2420,3557,13.4,25516,34844,266,186,-4.4,-4.7,0.3,156209,106,1101,75.44,148,84,3479.1,166997,1214,1439.9,16.4,8384
93,4/6/2018,2893,3547,12.2,25526,35430,248,249,3.3,3.1,0.1,156699,107,1274,85.8,132,101,3737.6,167644,1178,1443.8,16.5,7501
94,4/7/2018,2883,3504,15.7,25016,35212,242,243,-0.9,-0.4,-0.6,148218,103,587,76.72,137,82,3483.3,165063,853,1436.7,8.5,9166
95,4/8/2018,2775,3391,13.2,26706,36096,223,224,-2,-3.8,1.8,146289,101,1840,90.5,126,82,3832.5,162704,1803,1403.6,15.6,8853
96,4/9/2018,2640,3270,17.8,26466,36509,232,233,0.1,3,-2.9,144552,102,922,84.58,128,74,3832.5,155049,1033,1376.7,13.2,8384
97,4/10/2018,2737,3362,11.1,27685,36326,240,241,0.7,1,-0.3,147977,104,951,87.76,126,74,3813.8,162082,572,1417.7,-6,9308
98,4/11/2018,2803,3449,11.7,26768,36728,263,264,2.4,3,-0.6,151913,103,1272,94.07,122,73,3415.9,163706,1296,1453.5,6.7,7262
99,4/12/2018,2760,3379,11.7,25334,36342,246,248,3.5,3.8,-0.2,149468,102,1104,88.83,127,82,3341.1,160441,671,1442.4,-6,8198
100,4/13/2018,2716,3374,11.8,27623,37681,257,258,-1.4,-0.9,-0.6,151942,101,706,96.09,139,68,3469.4,161990,718,1445.9,10.5,7986
101,4/14/2018,2773,3469,13.6,27292,36259,281,282,-0.8,-1.6,0.9,154343,102,1075,92.2,143,83,3469.2,164558,1138,1439,14.1,7978
102,4/15/2018,2783,3469,13.2,27914,35807,272,273,1,0.6,0.3,150812,103,1161,98.49,142,67,3362.8,162999,1024,1438.1,14.4,7831
103,4/16/2018,2735,3364,12.9,27668,35601,210,211,-2.4,-2.1,-0.1,143804,103,994,88.11,137,90,3526.6,158622,598,1427.5,11.3,6793
104,4/17/2018,2888,3526,15.9,26668,34712,242,243,-1.4,-1.1,-0.3,156655,102,1197,93.6,137,70,3586.3,168682,974,1475.2,15.2,7909
105,4/18/2018,2929,3585,23.9,27402,34996,246,247,-4.8,1.8,-6.6,154061,100,3126,95.64,137,84,3572.6,169724,951,1498.2,12.3,8900
106,4/19/2018,2888,3574,21.2,26846,36821,243,244,1.6,2.2,-0.5,157730,100,714,98.72,145,89,3649.4,168894,1954,1476.2,14.9,8211
107,4/20/2018,2926,3650,12.1,27146,34953,240,241,-1.4,-2.3,1.1,158632,100,740,98.17,148,125,3576.3,171461,683,1506.3,19.2,9019
108,4/21/2018,2771,3577,12.4,27741,34508,249,250,-1.4,-1.9,0.6,155081,101,904,94,139,170,3593,168457,750,1455.8,5.8,7555
109,4/22/2018,2900,3593,11.8,27691,34554,280,281,-1.1,-2.8,1.5,157086,100,609,101.56,137,84,3441.8,169032,590,1488.1,9.4,7599
110,4/23/2018,2778,3442,11,27581,33354,231,233,0.4,1.2,-0.8,148507,101,611,92.78,135,103,3582.2,162408,796,1440.9,3.1,6805
111,4/24/2018,2898,3581,13.3,29070,32925,276,278,1.9,3,-1.1,158459,101,1223,97.73,140,74,3617,169930,646,1467.9,14.9,8216
112,4/25/2018,2906,3617,17.4,27708,34234,282,283,-3.5,-3.8,0.3,157383,100,2068,99.14,137,99,3642.3,169368,1439,1465.6,14.9,8104
113,4/26/2018,2909,3643,17.1,27248,33162,283,284,-0.4,-1.3,0.9,158567,100,1548,101.85,136,128,3651,170228,620,1473.3,12.1,8508
114,4/27/2018,2906,3651,14.4,28043,35224,291,293,-1.1,-1.2,0.1,156491,100,1122,98.97,143,113,3674.8,169666,645,1496.8,20.5,8821
115,4/28/2018,2929,3676,15.1,28234,32516,309,303,-6.3,-6.3,0.1,159112,100,1171,98.49,143,99,3682.4,171099,945,1486.5,20.6,7684
116,4/29/2018,2941,3682,11.5,28298,32797,317,318,-0.4,-0.6,0.3,156690,84,1164,95.13,145,112,3542.2,170346,658,1489.2,26.5,6834
117,4/30/2018,2773,3543,12.7,27768,33232,292,293,-4,-4.5,0.5,150535,73,676,92.28,139,177,3523.8,165151,1171,1414,17.5,7538
118,5/1/2018,2686,3523,12.5,26163,31855,302,304,-3.3,-3.3,-0.1,152636,75,826,96.97,138,227,3273,169310,874,1396.4,3.2,7292
119,5/2/2018,2614,3429,11.8,23988,33267,294,295,-0.9,-0.5,-0.4,150228,88,889,101.08,139,213,3257.8,163470,696,1396.3,10.2,8626
120,5/3/2018,2663,3477,12,25158,35005,342,343,-2.7,-2.1,-0.7,146794,98,858,91.07,135,190,3362,168168,825,1458.1,-12.3,10248
121,5/4/2018,2546,3329,10.9,26397,36478,376,377,0.8,0.5,0.4,149221,84,788,92.48,121,130,3547.3,164928,692,1423.9,-6.6,32789
122,5/5/2018,2733,3479,15.2,25647,35795,368,2135,0.9,1.5,-0.6,155529,89,1328,89.67,131,84,3610.1,166734,977,1488.7,8.8,7901
123,5/6/2018,2845,3609,16.8,25527,34815,371,372,-2.9,-1.3,-1.5,156432,91,2115,95.45,144,86,3784.1,212735,1252,1523.9,20,31087
124,5/7/2018,2735,3483,14.5,26340,36565,315,316,-13.9,-12,-1.7,147595,91,1488,96.62,132,139,3598,161049,2071,1479.1,4.8,7829
125,5/8/2018,2836,3628,13.2,26669,33763,348,349,-5.4,-3.7,-1.6,158468,91,1076,94.08,131,151,3723,170209,970,1501.9,13.9,8220
126,5/9/2018,2780,3582,13.8,28108,33539,366,368,-8.9,-8.6,-0.3,156575,91,1042,97.06,127,146,3723,167622,1041,1481,10.7,8038
127,5/10/2018,2800,3579,29.7,27601,34675,353,355,0.2,3.2,-3,153793,91,1679,91.61,128,106,3829,167243,1022,1514.2,14.8,8330
128,5/11/2018,2862,3607,31.1,27301,33973,359,360,-4.1,-3.7,-0.4,154618,91,2046,88.91,137,86,3514.6,168743,1243,1521.5,12.3,9251
129,5/12/2018,2910,3653,30.3,26346,33565,304,305,4.1,4.2,-0.2,156061,91,909,99.46,144,134,3357.4,170821,776,1543.2,12.7,10359
130,5/13/2018,2844,3621,11.1,26304,34482,308,310,7.7,9,-1.4,155827,91,584,92.98,146,184,3396.5,170613,1570,1510.4,12.6,7819
131,5/14/2018,2682,3396,10.4,26372,37723,296,297,22.2,22.9,-0.7,131514,91,616,92.98,131,118,3369.7,162434,691,1438.3,-1,7854
132,5/15/2018,2617,3370,14.9,25378,35798,334,336,0.1,-0.6,0.7,149713,91,1060,88.55,125,130,3564.4,165983,626,1461.6,-7,9192
133,5/16/2018,2828,3565,15.7,25228,33727,352,354,-1.3,-1.2,0.1,156680,91,1190,86.97,126,98,3574.2,170133,882,1545.7,22.7,8290
134,5/17/2018,2841,3575,22,25586,35703,338,339,0.9,-0.1,1,156873,91,1259,90.35,133,97,3663.1,169463,1257,1531.9,11.2,8022
135,5/18/2018,2888,3663,17.4,26037,32759,345,346,4.3,6.66E-16,4.3,158000,94,1119,90.03,140,114,3684.5,171819,774,1551.2,18.1,7239
136,5/19/2018,2872,3685,19.1,26994,34011,362,364,-1.8,-1.4,-0.4,159262,90,1083,89.16,136,152,3680.4,172620,657,1537,19.4,8688
137,5/20/2018,2861,3680,27.4,27220,34470,356,358,-1.2,-4.4,3.3,158843,95,832,91.72,145,151,3591.3,173153,1089,1517.1,12.5,8053
138,5/21/2018,2783,3591,19.4,26136,34932,327,329,2.3,0.5,1.8,154292,95,662,93.94,127,180,3753.7,167958,542,1455.7,25.2,9493
139,5/22/2018,2933,3755,22.1,25261,32042,349,349,5.4,4.6,0.7,162260,95,909,88.54,136,169,3825.5,176669,1096,1552.6,12.6,8887
140,5/23/2018,3045,3825,14.5,24406,29127,365,366,-0.3,-0.2,-0.1,164540,95,1693,93.42,136,119,3829.6,178912,721,1617.9,7.9,8212
141,5/24/2018,3033,3831,21.3,24965,28972,379,381,3.8,4,-0.2,163342,95,2208,83.99,136,117,3831.9,178139,1494,1576.9,20.1,8409
142,5/25/2018,3005,3831,15.1,24883,29442,382,383,4.6,3.7,0.9,164600,95,620,86.77,140,145,3805.1,176358,588,1564.6,14.3,8229
143,5/26/2018,2971,3804,15.4,25781,31575,396,396,2.9,3.8,-0.9,162682,91,1445,86.91,133,155,3782.8,658872,1181,1573.9,17.4,7870
144,5/27/2018,2956,3783,20,27041,32524,425,427,-1.6,-2.8,1.2,162303,83,2575,91.08,127,125,3729.9,175160,970,1562.4,17.7,9892
145,5/28/2018,2906,3730,15.1,25052,34695,409,411,-5.7,-1.6,-4.1,156914,87,1283,97.71,131,126,3829,172247,546,1536.8,15.1,9155
146,5/29/2018,2981,3829,28,25043,32964,392,393,-2.8,-3.4,0.6,164837,92,1232,95.46,142,171,3843.6,179434,653,1594.8,5.2,7337
147,5/30/2018,2875,3844,13.1,24918,31056,354,356,-6.9,-2.4,-4.6,164738,96,634,98.85,141,288,3844.4,179511,670,1526.8,10.8,8769
148,5/31/2018,2929,3844,13.7,26068,32808,379,380,-9.4,-5.6,-3.7,165374,106,1096,91.53,137,256,3862.1,182252,1286,1549.6,0.1,7990
149,6/1/2018,2965,3863,29.9,26753,32560,403,405,4.9,-0.7,5.6,162133,107,2673,93.06,136,196,3248.4,180116,1639,1553.9,11.2,8581
150,6/2/2018,2853,3727,13.5,26192,34422,421,422,-2.2,-1.5,-0.8,151074,106,808,89.75,129,166,3308.1,177164,650,1549.9,-16.2,8669
151,6/3/2018,2634,3514,10.9,26414,33412,424,426,2.4,1.7,0.8,154922,107,1040,74.54,115,199,3423,169236,1069,1509.8,3.2,8618
152,6/4/2018,2558,3501,10,25035,33586,420,421,4.3,3.8,0.4,149494,107,1038,91.33,109,254,3505.6,164721,497,1461,-8.4,8296
153,6/5/2018,2768,3738,10.5,25355,35938,454,455,4.4,3.7,0.7,164145,106,1082,91.07,119,237,3483.5,177087,563,1569.9,10.5,9104
154,6/6/2018,2797,3784,10.3,25072,34090,472,473,-0.7,-0.7,9.77E-15,164758,106,1725,90.82,121,223,3680.3,177490,599,1611,8.3,9010
155,6/7/2018,2684,3680,14.3,25570,33953,475,476,-0.9,-1.9,1,161937,105,1331,88.2,116,247,3686.9,174137,1219,1548.8,3.2,8739
156,6/8/2018,2684,3715,18.8,26760,36403,473,473,-19.3,2.7,-22,162034,105,1394,82.93,112,300,3748.5,173278,696,1542.1,3.9,7869
157,6/9/2018,2659,3700,11.9,27968,34766,444,445,-5,-4,-0.7,160011,103,812,74.67,109,338,3748.5,173434,583,1532.5,-0.4,8616
158,6/10/2018,2455,3501,11.7,28426,37118,451,452,-0.6,-1.2,0.7,147325,100,667,69.52,113,371,3802,166693,801,1435.4,-14.5,7992
159,6/11/2018,2290,3366,11.5,30935,41021,466,468,6.5,6.7,-0.1,147349,103,929,79.18,108,344,3441.6,158800,1711,1395.4,-17.6,7297
160,6/12/2018,2406,3581,9,28469,38135,485,486,3.8,2.1,1.6,159496,106,511,76.54,114,422,3376.4,169293,-304,1453.3,3.4,7760
161,6/13/2018,2419,3634,13.9,29762,39828,473,474,3.2,4.1,-1,160275,106,772,83.63,116,467,3676.5,170104,867,1452.3,-7.9,8233
162,6/14/2018,2440,3678,14.7,29162,41956,485,486,-3.3,-2.1,-1.1,160792,106,971,88.54,115,465,3734,172307,731,1465.8,8.7,6749
163,6/15/2018,2556,3734,14.2,28717,40456,507,509,-9.6,-10.5,1.2,163767,106,995,83.14,116,399,3799,176089,1160,1546.7,6.6,7651
164,6/16/2018,2628,3799,10.1,27737,37119,503,505,-3,-4.5,1.5,163270,107,1606,90.51,124,376,3743.6,177555,1393,1581.2,6.3,7589
165,6/17/2018,2590,3743,11.1,29393,37413,495,497,1,0.1,0.9,158386,108,629,92.27,121,365,3494.9,173773,764,1554.2,5.7,7329
166,6/18/2018,2391,3497,10.4,29797,38013,476,478,-3.4,-3.4,-0.2,147419,108,619,87.9,116,356,3653.9,166252,821,1465.2,-3.5,7861
167,6/19/2018,2620,3654,14,29805,38003,466,468,-1.5,-8.4,6.8,159366,107,754,82.63,119,304,3757.4,171534,696,1522.3,22.3,9347
168,6/20/2018,2747,3757,17,29542,34883,465,467,-1.2,-1.3,-1.42E-14,161070,107,1351,91.22,128,252,3857.8,176528,1476,1538.3,31.2,10006
169,6/21/2018,2841,3857,29.9,30651,35689,483,484,-0.1,2.2,-2.3,165360,107,1197,97.49,135,226,3861.8,178983,608,1550.9,22.8,9412
170,6/22/2018,2875,3862,31.8,31456,32986,455,456,-2.4,-3.6,1.2,162390,107,1986,86.06,137,239,3883.6,177851,2546,1532.4,8.3,7579
171,6/23/2018,2899,3883,26.3,28385,30177,440,442,-3.3,-3.5,1.71E-14,165459,103,1889,76.18,141,254,3821.1,177639,897,1527.7,17,7734
